doi,title
10.1016/j.ejor.2018.06.021,Understanding the impact of business analytics on innovation
10.1016/j.ejor.2019.07.031,Recursive Lower- and Dual Upper-Bounds for Bermudan-Style Options
10.1080/07370024.2017.1306444,Gaze Interaction With Vibrotactile Feedback: Review and Design Guidelines
10.1016/j.patcog.2019.107000,Dynamic graph convolutional networks
10.1007/s11704-018-8011-2,NEXT: a neural network framework for next POI recommendation
10.1080/07370024.2017.1324305,Image-Based Tactile Emojis: Improved Interpretation of Message Intention and Subtle Nuance for Visually Impaired Individuals
10.1016/j.ress.2019.106633,Conditional reliability-based importance measures
10.1016/j.artint.2019.103196,Scalable constraint-based virtual data center allocation
10.1111/itor.12447,Data envelopment analysis based on team reasoning
10.1016/j.mathsocsci.2019.10.002,Clique games: a family of games with coincidence between the nucleolus and the Shapley value
10.1016/j.neunet.2019.09.039,A new learning paradigm for random vector functional-link network: RVFL+
10.1111/itor.12451,Coordination in competitive dual sales channels of the mobile phone industry
10.1007/978-3-319-68474-1_3,ANN-Benchmarks: A benchmarking tool for approximate nearest neighbor algorithms
10.1016/j.jcss.2019.09.001,Clique-width and well-quasi-ordering of triangle-free graph classes
10.1016/j.chb.2019.08.016,"Absolute monopoly, areas of control or democracy? Examining gender differences in health participation on social media"
10.1111/itor.12471,A practical three‐phase ILP approach for solving the examination timetabling problem
10.1016/j.jsc.2019.07.010,Block-Krylov techniques in the context of sparse-FGLM algorithms
10.1016/j.jsc.2019.07.007,Matrix formulæ for resultants and discriminants of bivariate tensor-product polynomials
10.1007/s11704-017-6457-2,Automatic façade recovery from single nighttime image
10.1016/j.ins.2018.03.009,An active three-way clustering method via low-rank matrices for multi-view data
10.1080/07370024.2018.1427584,Optimal Orientation of Text Documents for Reading and Writing
10.1016/j.ins.2018.04.013,Frequent pattern discovery with tri-partition alphabets
10.1016/j.matcom.2018.04.010,Design and implementation of DTC based on AFLC and PSO of a PMSM
10.1007/s11704-018-7073-5,A Unified Latent Variable Model for Contrastive Opinion Mining
10.1016/j.ins.2018.05.053,Multigranulation rough-fuzzy clustering based on shadowed sets
10.1016/j.ins.2018.06.001,Three-way class-specific attribute reducts from the information viewpoint
10.1109/TIFS.2019.2919869,Source Printer Classification Using Printer Specific Local Texture Descriptor
10.1016/j.ins.2018.06.055,Modified NSGA-III for sensor placement in water distribution system
10.1016/j.patcog.2019.107034,"LSDSAR, a Markovian a contrario framework for line segment detection in SAR images"
10.1016/j.ins.2018.06.061,A multi-objective pigeon-inspired optimization approach to UAV distributed flocking among obstacles
10.1016/j.ins.2018.07.065,Fuzzy neighborhood covering for three-way classification
10.1016/j.ins.2018.07.032,On decision evaluation functions in generalized three-way decision spaces
10.1016/j.ins.2018.07.058,Game theoretic approach to shadowed sets: A three-way tradeoff perspective
10.1007/s11704-018-7368-6,A syntactic path-based hybrid neural network for negation scope detection
10.1016/j.ins.2018.08.001,Credit scoring using three-way decisions with probabilistic rough sets
10.1016/j.ins.2018.08.024,Three-way decisions with decision-theoretic rough sets in multiset-valued information tables
10.1109/TCYB.2018.2864107,Multitask Feature Selection by Graph-Clustered Feature Sharing
10.1109/TIFS.2019.2916364,Noiseprint: A CNN-Based Camera Model Fingerprint
10.1109/TIFS.2019.2911162,Secure Relaying in Non-Orthogonal Multiple Access: Trusted and Untrusted Scenarios
10.1109/TCYB.2018.2864784,A Learning-Based Hierarchical Control Scheme for an Exoskeleton Robot in Human–Robot Cooperative Manipulation
10.1109/TCYB.2018.2863790,Shared Gaussian Process Latent Variable Model for Incomplete Multiview Clustering
10.1016/j.ins.2018.08.061,Inclusion measure-based multi-granulation decision-theoretic rough sets in multi-scale intuitionistic fuzzy information tables
10.1109/TIFS.2019.2916650,Decentralized Detection With Robust Information Privacy Protection
10.1007/s11704-018-7030-3,HGeoHashBase: an optimized storage model of spatial objects for location-based services
10.1109/TCYB.2018.2868169,Event-Triggered Adaptive Output Feedback Control for a Class of Uncertain Nonlinear Systems With Actuator Failures
10.1109/TCYB.2018.2866527,Immune-Endocrine System Inspired Hierarchical Coevolutionary Multiobjective Optimization Algorithm for IoT Service
10.1109/TCYB.2018.2866274,Evaluation of Gaze Tracking Calibration for Longitudinal Biomedical Imaging Studies
10.1016/j.ins.2018.09.008,NIS-Apriori-based rule generation with three-way decisions and its application system in SQL
10.1016/j.ins.2018.09.007,Trice-Valued Fuzzy Sets: Mathematical Model for Three-way Decisions
10.1109/TCYB.2018.2864670,Feature Extraction for Classification of Hyperspectral and LiDAR Data Using Patch-to-Patch CNN
10.1109/TCYB.2018.2866869,Incremental Class Learning for Hierarchical Classification
10.1109/TCYB.2018.2864158,A Deep Evaluator for Image Retargeting Quality by Geometrical and Contextual Interaction
10.1007/s11704-018-7429-x,Uncertain multicast under dynamic behaviors
10.1109/TCYB.2018.2865677,Adaptive Fuzzy Tracking Control for Strict-Feedback Markov Jumping Nonlinear Systems With Actuator Failures and Unmodeled Dynamics
10.1109/TCYB.2018.2868891,Context-Patch Face Hallucination Based on Thresholding Locality-Constrained Representation and Reproducing Learning
10.1109/TCYB.2018.2868405,Type-2 Fuzzy Logic-Based Linguistic Pursuing Strategy Design and Its Deployment to a Real-World Pursuit Evasion Game
10.1109/TCYB.2018.2868470,Controllability Ensured Leader Group Selection on Signed Multiagent Networks
10.1016/j.socnet.2018.08.008,Fast clustering for signed graphs based on random walk gap
10.1007/s11704-017-7063-z,A survey of uncertain data management
10.1109/TCYB.2018.2863108,Impulsive Consensus of Multiagent Systems With Limited Bandwidth Based on Encoding–Decoding
10.1109/TCYB.2018.2869249,Average Quasi-Consensus Algorithm for Distributed Constrained Optimization: Impulsive Communication Framework
10.1109/TCYB.2018.2868794,Ensemble Decision for Spam Detection Using Term Space Partition Approach
10.1016/j.ins.2018.09.048,Information structures in a covering information system
10.1109/TCYB.2018.2869623,Visual Tracking and Depth Estimation of Mobile Robots Without Desired Velocity Information
10.1016/j.ins.2018.09.053,Evolutionary mining of skyline clusters of attributed graph data
10.1109/TCYB.2018.2868493,Bi-objective Elite Differential Evolution Algorithm for Multivalued Logic Networks
10.1007/s11704-019-8231-0,Compiler testing: a systematic literature analysis
10.1109/TCYB.2018.2868742,Spectral Clustering by Joint Spectral Embedding and Spectral Rotation
10.1109/TCYB.2018.2868782,Learning Scale-Adaptive Tight Correlation Filter for Object Tracking
10.1016/j.ins.2018.10.005,Behavior of crossover operators in NSGA-III for large-scale optimization problems
