name,number,method,rank,title,doi,year
djedje,1,rrf_llm_pure ,1,Representation Learning on Graphs: Methods and Applications.,,2017
djedje,1,rrf_llm_pure ,2,Information network or social network?: the structure of the twitter follow graph,,2014
djedje,1,rrf_llm_pure ,3,Generative Adversarial Graph Representation Learning in Hyperbolic Space,,2018
djedje,1,rrf_llm_pure ,4,Neuro-symbolic representation learning on biological knowledge graphs,,2017
djedje,1,rrf_llm_pure ,5,Learning Deep Generative Models of Graphs,,2018
djedje,1,rrf_llm_pure ,6,Applications of Graph Theory in Computer Science,,2011
djedje,1,rrf_llm_pure ,7,Quick Mining of Isomorphic Exact Large Patterns from Large Graphs,,2014
djedje,1,rrf_llm_pure ,8,Bar 1-Visibility Graphs and their relation to other Nearly Planar Graphs,,2013
djedje,1,rrf_llm_pure ,9,Big Graph Processing Systems: State-of-the-Art and Open Challenges,,2015
djedje,1,rrf_llm_pure ,10,Learning the graph of epidemic cascades,,2012
djedje,1,rrf_llm_pure ,11,Relations between the set-complexity and the structure of graphs and their sub-graphs,,2012
djedje,1,rrf_llm_pure ,12,Finding the Graph of Epidemic Cascades,,2012
djedje,1,rrf_llm_pure ,13,Learning Embedding Space for Clustering From Deep Representations,,2018
djedje,1,rrf_llm_pure ,14,Fast and Scalable Analysis of Massive Social Graphs,,2011
djedje,1,rrf_llm_pure ,15,GraphStream: A Tool for bridging the gap between Complex Systems and Dynamic Graphs,,2008
djedje,2,rrf_llm_pure ,1,Distributed Representations of Words and Phrases and their Compositionality,,2013
djedje,2,rrf_llm_pure ,2,Distributed Representations of Words and Phrases and their Compositionality,,2013
djedje,2,rrf_llm_pure ,3,"""The Sum of Its Parts"": Joint Learning of Word and Phrase Representations with Autoencoders",,2015
djedje,2,rrf_llm_pure ,4,Co-learning of Word Representations and Morpheme Representations,,2014
djedje,2,rrf_llm_pure ,5,DRWS: A Model for Learning Distributed Representations for Words and Sentences,,2014
djedje,2,rrf_llm_pure ,6,Improving short text classification by learning vector representations of both words and hidden topics,,2016
djedje,2,rrf_llm_pure ,7,A Simple and Efficient Method to Generate Word Sense Representations,,2015
djedje,2,rrf_llm_pure ,8,A Simple and Efficient Method To Generate Word Sense Representations,,2014
djedje,2,rrf_llm_pure ,9,Learning word representations for Turkish,,2014
djedje,2,rrf_llm_pure ,10,"Efficient Reverse Converters for 4-Moduli Sets {2$$^{2n-1}-1$$2n-1-1, 2$$^{n}$$n, 2$$^{n}+1$$n+1, 2$$^{n}-1$$n-1} and {2$$^{2n-1}$$2n-1, 2$$^{2n-1}-1$$2n-1-1, 2$$^{n}+1$$n+1, 2$$^{n}-1$$n-1} Based on CRTs Algorithm",,2014
djedje,2,rrf_llm_pure ,11,"Unsupervised Low-Dimensional Vector Representations for Words, Phrases and Text that are Transparent, Scalable, and produce Similarity Metrics that are Complementary to Neural Embeddings",,2018
djedje,2,rrf_llm_pure ,12,On the difference equation xn+1=xn-1-1+xnxn-1,,2004
djedje,2,rrf_llm_pure ,13,1-Visibility Representations of 1-Planar Graphs,,2013
djedje,2,rrf_llm_pure ,14,On the solutions of the difference equation xn+1=xn-1-1+axnxn-1,,2004
djedje,2,rrf_llm_pure ,15,"(1, 1)-q-coherent pairs",,2012
