name,number,method,rank,title,doi,year
ibbi,1,rrf_llm,1,Developing a navigational 3D audio game with hierarchical levels of difficulty for the visually impaired players.,,2015
ibbi,1,rrf_llm,2,Auditory browser for blind and visually impaired users,,1999
ibbi,1,rrf_llm,3,SoniFight: Software to Provide Additional Sonification Cues to Video Games for Visually Impaired Players,,2018
ibbi,1,rrf_llm,4,Real-time sensory substitution to enable players who are blind to play video games using whole body gestures ☆,,2014
ibbi,1,rrf_llm,5,Spatial localization with only auditory cues: a preliminary study,,2011
ibbi,1,rrf_llm,6,Audio games: new perspectives on game audio,,2004
ibbi,1,rrf_llm,7,Blind hero: enabling guitar hero for the visually impaired,,2008
ibbi,1,rrf_llm,8,Gaze-contingent audio-visual substitution for the blind and visually impaired,,2013
ibbi,1,rrf_llm,9,"""Did You Hear That?"" Learning to Play Video Games from Audio Cues",,2019
ibbi,1,rrf_llm,10,“Did You Hear That?” Learning to Play Video Games from Audio Cues,,2019
ibbi,1,rrf_llm,11,Identifying Sound Cues of the Outdoor Environment by Blind People to Represent Landmarks on Audio-Tactile Maps,,2017
ibbi,1,rrf_llm,12,Spatial Audio Feedback for Hand Gestures in Games,,2015
ibbi,1,rrf_llm,13,Speed sonic across the span: building a platform audio game,,2007
ibbi,1,rrf_llm,14,VI-Tennis: a vibrotactile/audio exergame for players who are visually impaired,,2010
ibbi,1,rrf_llm,15,Scaffolding Player Location Awareness through Audio Cues in First-Person Shooters,,2016
ibbi,1,rrf_pure_llama,1,Scaffolding Player Location Awareness through Audio Cues in First-Person Shooters,,2016
ibbi,1,rrf_pure_llama,2,"""Did You Hear That?"" Learning to Play Video Games from Audio Cues",,2019
ibbi,1,rrf_pure_llama,3,“Did You Hear That?” Learning to Play Video Games from Audio Cues,,2019
ibbi,1,rrf_pure_llama,4,An Analysis of Information Conveyed through Audio in an FPS Game and Its Impact on Deaf Players Experience,,2011
ibbi,1,rrf_pure_llama,5,Surveillance Audio Attention Model Based on Spatial Audio Cues,,2009
ibbi,1,rrf_pure_llama,6,Design Guidelines for Audio Games,,2013
ibbi,1,rrf_pure_llama,7,Spatial audio cues based surveillance audio attention model,,2010
ibbi,1,rrf_pure_llama,8,SoniFight: Software to Provide Additional Sonification Cues to Video Games for Visually Impaired Players,,2018
ibbi,1,rrf_pure_llama,9,A Design Framework for Awareness Cues in Distributed Multiplayer Games,,2018
ibbi,1,rrf_pure_llama,10,MP3 Players and Audio Games: An Alternative to Portable Video Games Console for Visually Impaired Players,,2008
ibbi,1,rrf_pure_llama,11,Testing metaphorical educational FPS games,,2009
ibbi,1,rrf_pure_llama,12,Communication channels and awareness cues in collocated collaborative time-critical gaming,,2012
ibbi,1,rrf_pure_llama,13,Identifying Sound Cues of the Outdoor Environment by Blind People to Represent Landmarks on Audio-Tactile Maps,,2017
ibbi,1,rrf_pure_llama,14,Audio Habits and Motivations in Video Game Players,,2019
ibbi,1,rrf_pure_llama,15,Spatial Audio Feedback for Hand Gestures in Games,,2015
ibbi,2,rrf_llm,1,Music Matters: An empirical study on the effects of adaptive music on experienced and perceived player affect,,2019
ibbi,2,rrf_llm,2,"AI researchers, Video Games are your friends!",,2015
ibbi,2,rrf_llm,3,Artificial and Computational Intelligence in Games: AI-Driven Game Design (Dagstuhl Seminar 17471),,2017
ibbi,2,rrf_llm,4,An Analysis of Fighting Game AIs Having a Persona,,2018
ibbi,2,rrf_llm,5,Fighting the game. Command systems and player-avatar interaction in fighting games in a social cognitive neuroscience framework,,2019
ibbi,2,rrf_llm,6,Improving player experience in Computer Games by using players' behavior analysis and linguistic descriptions,,2016
ibbi,2,rrf_llm,7,Player Experience and Deceptive Expectations of Difficulty Adaptation in Digital Games,,2019
ibbi,2,rrf_llm,8,Artificial intelligence in video games: towards a unified framework,,2015
ibbi,2,rrf_llm,9,Building persistence through failure: the role of challenge in video games,,2019
ibbi,2,rrf_llm,10,Influencing the Behavioral Responses of Players in an Interactive Narrative Game through Music and Arousal Congruency,,2019
ibbi,2,rrf_llm,11,Monte-Carlo Tree Search Implementation of Fighting Game AIs Having Personas,,2018
ibbi,2,rrf_llm,12,Academic AI and Video games: a case study of incorporating innovative academic research into a video game prototype,,2005
ibbi,2,rrf_llm,13,Discovering Combos in Fighting Games with Evolutionary Algorithms,,2016
ibbi,2,rrf_llm,14,Investigating Kinect-based fighting game AIs that encourage their players to use various skills,,2015
ibbi,2,rrf_llm,15,Applying and Improving Monte-Carlo Tree Search in a Fighting Game AI,,2016
ibbi,2,rrf_pure_llama,1,An interface for post-match play-by-play analysis of a fighting game based on the two players' eye movements,,2018
ibbi,2,rrf_pure_llama,2,Application of Retrograde Analysis on Fighting Games,,2019
ibbi,2,rrf_pure_llama,3,Fighting the game. Command systems and player-avatar interaction in fighting games in a social cognitive neuroscience framework,,2019
