pid,title,year,hop,sim,src,source,abstract,authors
2897817729,Triple Context-Based Knowledge Graph Embedding,2018,0,83.80707550048828,bm25,recall,"Knowledge graph embedding aims to represent entities and relations of a knowledge graph in continuous vector spaces. It has increasingly drawn attention for its ability to encode semantics in low dimensional vectors as well as its outstanding performance on many applications, such as question answering systems and information retrieval tasks. Existing methods often handle each triple independently, without considering context information of a triple in the knowledge graph, such an information can be useful for inference of new knowledge. Moreover, the relations and paths between an entity pair also provide information for inference. In this paper, we define a novel context-dependent knowledge graph representation model named triple-context-based knowledge embedding, which is based on the notion of  triple context  used for embedding entities and relations. For each triple, the triple context is composed of two kinds of graph structured information: one is a set of neighboring entities along with their outgoing relations, the other is a set of relation paths which contain a pair of target entities. Our embedding method is designed to utilize the triple context of each triple while learning embeddings of entities and relations. The method is evaluated on multiple tasks in the paper. Experimental results reveal that our method achieves significant improvements over the state-of-the-art methods.","[{'name': 'Huan Gao', 'org': 'Computer Science and Engineering Institute, Southeast University, Nanjing, China', 'id': 2989101449}, {'name': 'Jun Shi', 'org': 'Computer Science and Engineering Institute, Southeast University, Nanjing, China', 'id': 2721042959}, {'name': 'Guilin Qi', 'org': 'Computer Science and Engineering Institute, Southeast University, Nanjing, China', 'id': 2178685138}, {'name': 'Meng Wang', 'org': 'Computer Science and Engineering Institute, Southeast University, Nanjing, China', 'id': 2300598665}]"
2767271448,Knowledge Graph Embedding with Triple Context,2017,0,78.07847595214844,bm25,recall,"Knowledge graph embedding, which aims to represent entities and relations in vector spaces, has shown outstanding performance on a few knowledge graph completion tasks. Most existing methods are based on the assumption that a knowledge graph is a set of separate triples, ignoring rich graph features, i.e., structural information in the graph. In this paper, we take advantages of structures in knowledge graphs, especially local structures around a triple, which we refer to as triple context. We then propose a Triple-Context-based knowledge Embedding model (TCE). For each triple, two kinds of structure information are considered as its context in the graph; one is the outgoing relations and neighboring entities of an entity and the other is relation paths between a pair of entities, both of which reflect various aspects of the triple. Triples along with their contexts are represented in a unified framework, in which way structural information in triple contexts can be embodied. The experimental results show that our model outperforms the state-of-the-art methods for link prediction.","[{'name': 'Jun Shi', 'org': '(Southeast University, Nanjing, China)', 'id': 2721042959}, {'name': 'Huan Gao', 'org': '(Southeast University, Nanjing, China)', 'id': 2989101449}, {'name': 'Guilin Qi', 'org': '(Southeast University, Nanjing, China)', 'id': 2178685138}, {'name': 'Zhangquan Zhou', 'org': '(Southeast University, Nanjing, China)', 'id': 2657194247}]"
2976497980,TripleNet: Triple Attention Network for Multi-Turn Response Selection in Retrieval-based Chatbots,2019,0,77.10042572021484,bm25,recall,"We consider the importance of different utterances in the context for selecting the response usually depends on the current query. In this paper, we propose the model TripleNet to fully model the task with the triple   instead of   in previous works. The heart of TripleNet is a novel attention mechanism named triple attention to model the relationships within the triple at four levels. The new mechanism updates the representation for each element based on the attention with the other two concurrently and symmetrically. We match the triple   centered on the response from char to context level for prediction. Experimental results on two large-scale multi-turn response selection datasets show that the proposed model can significantly outperform the state-of-the-art methods. TripleNet source code is available at this https URL","[{'name': 'Wentao Ma', 'id': 2758072514}, {'name': 'Yiming Cui', 'id': 2687376174}, {'name': 'Nan Shao', 'id': 2976664180}, {'name': 'Su He', 'id': 2975193543}, {'name': 'Wei-Nan Zhang', 'id': 2119756314}, {'name': 'Ting Liu', 'id': 2916645153}, {'name': 'Shijin Wang', 'id': 2496586547}, {'name': 'Guoping Hu', 'id': 2496894573}]"
2137304183,Context-aware applications: from the laboratory to the marketplace,1997,0,73.25810241699219,bm25,recall,"Current hardware developments are making mobile computing increasingly attractive. An important class of mobile applications are context-aware applications: applications that change their behaviour according to the useru0027s present context-their location, who they are with, what the time of day is, and so on. This article is about software design for context-aware applications. Currently most such applications have been crafted by experts in research laboratories. Our aim is to factor out a simple class of context-aware applications and make the creation of these as easy as, say, creating Web pages.","[{'name': 'P.J. Brown', 'org': 'Kent University, Canterbury, UK', 'id': 2598795831}, {'name': 'J.D. Bovey', 'id': 2974448624}, {'name': 'Xian Chen', 'id': 2574198784}]"
2973224900,Attention-based context-aware sequential recommendation model,2020,0,72.85833740234375,bm25,recall,"Abstract   Recurrent neural networks (RNN) based recommendation algorithms have been introduced recently as sequence information plays an increasingly important role when modeling user preferences. However, these methods have numerous limitations: they usually give undue importance to sequential changes and place insufficient emphasis on the correlation between adjacent items; additionally, they typically ignore the impacts of context information. To address these issues, we propose an attention-based context-aware sequential recommendation model using Gated Recurrent Unit (GRU), abbreviated as ACA-GRU. First, we consider the impact of context information on recommendations and classify them into four categories, including input context, correlation context, static interest context, and transition context. Then, by redefining the update and reset gate of the GRU unit, we calculate the global sequential state transition of the RNN determined by these contexts, to model the dynamics of user interest. Finally, by leveraging the attention mechanism in the correlation context, the model is able to distinguish the importance of each item in the rating sequence. The impact of outliers that are less informative or less predictive decreases or is ignored. Experimental results indicate that ACA-GRU outperforms state-of-the-art context-aware models as well as sequence recommendation algorithms, demonstrating the effectiveness of the proposed model.","[{'name': 'Weihua Yuan', 'org': 'School of Information Science and Technology, Shandong Normal University, Jinan, SD, 250014, China', 'id': 2769931492}, {'name': 'Hong Wang', 'org': 'School of Information Science and Technology, Shandong Normal University, Jinan, SD, 250014, China', 'id': 2718872510}, {'name': 'Xiaomei Yu', 'org': 'School of Information Science and Technology, Shandong Normal University, Jinan, SD, 250014, China', 'id': 2793905068}, {'name': 'Nan Liu', 'org': 'School of Computer Science and Technology, Shandong Jianzhu University, Jinan, SD, 250101, China', 'id': 2973162281}, {'name': 'Zhenghao Li', 'org': 'School of Information Science and Technology, Shandong Normal University, Jinan, SD, 250014, China', 'id': 2973110495}]"
2963970108,Context-Aware Authentication: State-of-the-Art Evaluation and Adaption to the IIoT,2019,0,71.36361694335938,bm25,recall,"Authentication is an important and non-trivial topic for the security of the tremendously growing industrial Internet of Things. Classical authentication methods often do not meet the requirements of IoT networks, where computing power and bandwidth are usually constrained. This overview paper therefore turns its attention to context-aware authentication, a method that uses features of a shared or otherwise known context to mutually authenticate devices. First the idea of context-aware authentication and the state of the art in research is introduced. The work done so far is then evaluated, with a focus on the examined context features and authentication mechanisms. Afterwards it is discussed how context-awareness can be transferred from user-centric towards machine-to-machine authentication in the industrial IoT. The specific requirements are discussed together with use-cases for Smart Logistics and Industry 4.0.","[{'name': 'Moritz Loske', 'org': 'Fraunhofer IIS, Nuremberg, Germany', 'id': 2942410000}, {'name': 'Lukas Rothe', 'org': 'Fraunhofer IIS, Nuremberg, Germany', 'id': 2911707895}, {'name': 'Dominik G. Gertler', 'org': 'Ostbayerische Technische Hochschule Amberg-Weiden, Weiden i.d.OPf., Germany', 'id': 2912315538}]"
2979739834,Learning Visual Relationship and Context-Aware Attention for Image Captioning,2020,0,70.79586029052734,bm25,recall,"Abstract   Image captioning which automatically generates natural language descriptions for images has attracted lots of research attentions and there have been substantial progresses with attention based captioning methods. However, most attention-based image captioning methods focus on extracting visual information in regions of interest for sentence generation and usually ignore the relational reasoning among those regions of interest in an image. Moreover, these methods do not take into account previously attended regions which can be used to guide the subsequent attention selection. In this paper, we propose a novel method to implicitly model the relationship among regions of interest in an image with a graph neural network, as well as a novel context-aware attention mechanism to guide attention selection by fully memorizing previously attended visual content. Compared with the existing attention-based image captioning methods, ours can not only learn relation-aware visual representations for image captioning, but also consider historical context information on previous attention. We perform extensive experiments on two public benchmark datasets: MS COCO and Flickr30K, and the experimental results indicate that our proposed method is able to outperform various state-of-the-art methods in terms of the widely used evaluation metrics.","[{'name': 'Junbo Wang', 'org': 'University of Chinese Academy of Sciences (UCAS), China', 'id': 2781582583}, {'name': 'Wei Wang', 'org': 'University of Chinese Academy of Sciences (UCAS), China', 'id': 2637477271}, {'name': 'Liang Wang', 'org': 'Center for Research on Intelligent Perception and Computing (CRIPAC), National Laboratory of Pattern Recognition (NLPR), Institute of Automation, Chinese Academy of Sciences (CASIA) China', 'id': 2226151461}, {'name': 'Zhiyong Wang', 'org': 'School of Information Technologies, The University of Sydney, Australia#TAB#', 'id': 2343019993}, {'name': 'David Dagan Feng', 'org': 'School of Information Technologies, The University of Sydney, Australia#TAB#', 'id': 2131084071}, {'name': 'Tieniu Tan', 'org': 'Center for Research on Intelligent Perception and Computing (CRIPAC), National Laboratory of Pattern Recognition (NLPR), Institute of Automation, Chinese Academy of Sciences (CASIA) China', 'id': 2120394816}]"
2158715331,Mnemonic Context Effect in Two Cultures: Attention to Memory Representations?,2007,0,70.56204986572266,bm25,recall,"In two experiments we demonstrate a substantial cross-cultural difference in a mnemonic context effect, whereby a magnitude estimate of a simple stimulus such as a line or circle is biased toward the center of the distribution of previously seen instances of the same class. In support of the hypothesis that Asians are more likely than Americans to disperse their attention to both the target stimulus and its mnemonic context, this effect was consistently larger for Japanese than for Americans. Moreover, the cultural difference was attenuated by an experimentally induced belief in class homogeneity that augmented the context effect itself in both cultures. More important, these belief effects happened in the absence of any objective change in stimulus distribution. Implications for sociocultural shaping of cognition are discussed.","[{'name': 'Sean Duffy', 'org': 'Department of Psychology, Rutgers University', 'id': 2105568984}, {'name': 'Shinobu Kitayama', 'org': 'Department of Psychology University of Michigan', 'id': 1975555326}]"
2956118103,Context-Aware Co-attention Neural Network for Service Recommendations,2019,0,70.4848403930664,bm25,recall,"Context-aware recommender systems are able to produce more accurate recommendations by harnessing contextual information, such as consuming time and location. Further, user reviews as an important information resource, providing valuable information about usersu0027 preferences, itemsu0027 aspects, and implicit contextual features, could be used to enhance the embeddings of users, items, and contexts. However, few works attempt to incorporate these two types of information, i.e., contexts and reviews, into their models. Recent state-of-the-art context-aware methods only characterize relations between two types of entities among users, items and contexts, which may be insufficient, as the final prediction is closely related to all the three types of entities. In this paper, we propose a novel model, named Context-aware Co-Attention Neural Network (CCANN), to dynamically infer relations between contexts and users/items, and subsequently to model the degree of matching between usersu0027 contextual preferences and itemsu0027 context-aware aspects via co-attention mechanism. To better leverage the information from reviews, we propose an embedding method, named Entity2Vec, to jointly learn embeddings of different entities (users, items and contexts) with words in a textual review. Experimental results, on three datasets composed of millions of review records crawled from TripAdvisor, demonstrate that our CCANN significantly outperforms state-of-the-art recommendation methods, and Entity2Vec can further boost the modelu0027s performance.","[{'name': 'Lei Li', 'org': 'Hong Kong Baptist University', 'id': 2809426687}, {'name': 'Ruihai Dong', 'org': 'university College Dublin', 'id': 2122125241}, {'name': 'Li Chen', 'org': 'Hong Kong Baptist University', 'id': 2444561585}]"
2084947233,"Context-aware systems: the 'right' information, at the 'right' time, in the 'right' place, in the 'right' way, to the 'right' person",2012,0,70.37396240234375,bm25,recall,"Based on the assumption that the scarce resource for many people in the world today is not information but human attention, the challenge for future human-centered computer systems is not to deliver more information ""to anyone, at anytime, and from anywhere,"" but to provide ""the u0027rightu0027 information, at the u0027rightu0027 time, in the u0027rightu0027 place, in the u0027rightu0027 way, to the u0027rightu0027 person.""   This article develops a multidimensional framework for context-aware systems to address this challenge, transcending existing frameworks that limited their concerns to particular aspects of context-awareness and paid little attention to potential pitfalls. The framework is based on insights derived from the development and assessment of a variety of different systems that we have developed over the last twenty years to explore different dimensions of context awareness.   Specific challenges, guidelines, and design trade-offs (promises and pitfalls) are derived from the framework for designing the next generation of context-aware systems. These systems will support advanced interactions for assisting humans (individuals and groups) to become more knowledgeable, more productive, and more creative by emphasizing context awareness as a fundamental design requirement.","[{'name': 'Gerhard Fischer', 'org': 'University of Colorado—Boulder', 'id': 2176357113}]"
