P@1,HR@1,R@1,NDCG@1,P@2,HR@2,R@2,NDCG@2,P@3,HR@3,R@3,NDCG@3,P@4,HR@4,R@4,NDCG@4,P@5,HR@5,R@5,NDCG@5,P@6,HR@6,R@6,NDCG@6,P@7,HR@7,R@7,NDCG@7,P@8,HR@8,R@8,NDCG@8,P@9,HR@9,R@9,NDCG@9,P@10,HR@10,R@10,NDCG@10,P@11,HR@11,R@11,NDCG@11,P@12,HR@12,R@12,NDCG@12,P@13,HR@13,R@13,NDCG@13,P@14,HR@14,R@14,NDCG@14,P@15,HR@15,R@15,NDCG@15,P@16,HR@16,R@16,NDCG@16,P@17,HR@17,R@17,NDCG@17,P@18,HR@18,R@18,NDCG@18,P@19,HR@19,R@19,NDCG@19,P@20,HR@20,R@20,NDCG@20,method
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.03125,0.16812753627111746,0.2,1.0,0.03125,0.14606834984270645,0.16666666666666666,1.0,0.03125,0.13032376591037062,0.14285714285714285,1.0,0.03125,0.11838279295536291,0.125,1.0,0.03125,0.10893649261775588,0.1111111111111111,1.0,0.03125,0.10122860821230018,0.1,1.0,0.03125,0.09478836436955078,0.09090909090909091,1.0,0.03125,0.08930562034683721,0.08333333333333333,1.0,0.03125,0.0845667599404342,0.07692307692307693,1.0,0.03125,0.08041927109478651,0.07142857142857142,1.0,0.03125,0.07675099783970546,0.06666666666666667,1.0,0.03125,0.0734773909038217,0.0625,1.0,0.03125,0.0705333542487353,0.058823529411764705,1.0,0.03125,0.06786785134613488,0.05555555555555555,1.0,0.03125,0.06544023194852022,0.05263157894736842,1.0,0.03125,0.0632176666891428,0.05,1.0,0.03125,0.06117331537803186,bm25_full_llm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0625,0.16812753627111746,0.2,1.0,0.0625,0.14606834984270645,0.16666666666666666,1.0,0.0625,0.13032376591037062,0.14285714285714285,1.0,0.0625,0.11838279295536291,0.125,1.0,0.0625,0.10893649261775588,0.1111111111111111,1.0,0.0625,0.10122860821230018,0.1,1.0,0.0625,0.09478836436955078,0.09090909090909091,1.0,0.0625,0.08930562034683721,0.08333333333333333,1.0,0.0625,0.0845667599404342,0.15384615384615385,1.0,0.125,0.12946323173096355,0.14285714285714285,1.0,0.125,0.12355784979937026,0.13333333333333333,1.0,0.125,0.11828782275775632,0.125,1.0,0.125,0.11354835553164001,0.11764705882352941,1.0,0.125,0.11354835553164001,0.1111111111111111,1.0,0.125,0.11354835553164001,0.10526315789473684,1.0,0.125,0.11354835553164001,0.1,1.0,0.125,0.11354835553164001,bm25_full_llm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.015384615384615385,0.16812753627111746,0.2,1.0,0.015384615384615385,0.14606834984270645,0.16666666666666666,1.0,0.015384615384615385,0.13032376591037062,0.14285714285714285,1.0,0.015384615384615385,0.11838279295536291,0.125,1.0,0.015384615384615385,0.10893649261775588,0.1111111111111111,1.0,0.015384615384615385,0.10122860821230018,0.1,1.0,0.015384615384615385,0.09478836436955078,0.09090909090909091,1.0,0.015384615384615385,0.08930562034683721,0.08333333333333333,1.0,0.015384615384615385,0.0845667599404342,0.07692307692307693,1.0,0.015384615384615385,0.08041927109478651,0.07142857142857142,1.0,0.015384615384615385,0.07675099783970546,0.06666666666666667,1.0,0.015384615384615385,0.0734773909038217,0.0625,1.0,0.015384615384615385,0.0705333542487353,0.058823529411764705,1.0,0.015384615384615385,0.06786785134613488,0.05555555555555555,1.0,0.015384615384615385,0.06544023194852022,0.05263157894736842,1.0,0.015384615384615385,0.0632176666891428,0.05,1.0,0.015384615384615385,0.06117331537803186,bm25_full_llm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.029411764705882353,0.23463936301137822,0.25,1.0,0.029411764705882353,0.19519002499605084,0.2,1.0,0.029411764705882353,0.16958010263680806,0.16666666666666666,1.0,0.029411764705882353,0.15130120674940672,0.14285714285714285,1.0,0.029411764705882353,0.13743816645714543,0.125,1.0,0.029411764705882353,0.12647135138382856,0.1111111111111111,1.0,0.029411764705882353,0.11752277470724268,0.1,1.0,0.029411764705882353,0.11004588314904008,0.09090909090909091,1.0,0.029411764705882353,0.1036806144573329,0.08333333333333333,1.0,0.029411764705882353,0.09817896789964464,0.07692307692307693,1.0,0.029411764705882353,0.09336388246267398,0.07142857142857142,1.0,0.029411764705882353,0.08910514909732568,0.06666666666666667,1.0,0.029411764705882353,0.08530460913930236,0.0625,1.0,0.029411764705882353,0.0818866884283907,0.058823529411764705,1.0,0.029411764705882353,0.07879213539011483,0.05555555555555555,1.0,0.029411764705882353,0.07597375654860733,0.05263157894736842,1.0,0.029411764705882353,0.0733934381893728,0.05,1.0,0.029411764705882353,0.07102001981682865,bm25_full_llm
1.0,1.0,0.020833333333333332,1.0,1.0,1.0,0.041666666666666664,1.0,1.0,1.0,0.0625,1.0,1.0,1.0,0.08333333333333333,1.0,0.8,1.0,0.08333333333333333,0.8687949224876582,0.8333333333333334,1.0,0.10416666666666667,0.8829374068620365,0.8571428571428571,1.0,0.125,0.8936633189697701,0.875,1.0,0.14583333333333334,0.9021484053648395,0.8888888888888888,1.0,0.16666666666666666,0.9090719693810212,0.9,1.0,0.1875,0.914856882358379,0.9090909090909091,1.0,0.20833333333333334,0.9197817264827571,0.9166666666666666,1.0,0.22916666666666666,0.924038381313265,0.8461538461538461,1.0,0.22916666666666666,0.8787198793138205,0.8571428571428571,1.0,0.25,0.8842519939056295,0.8,1.0,0.25,0.8465366085452453,0.8125,1.0,0.2708333333333333,0.8526854639155735,0.7647058823529411,1.0,0.2708333333333333,0.8204619066598529,0.7777777777777778,1.0,0.2916666666666667,0.8268839481619538,0.7368421052631579,1.0,0.2916666666666667,0.7988002528265317,0.75,1.0,0.3125,0.8053067088295955,bm25_full_llm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bm25_full_llm
1.0,1.0,0.058823529411764705,1.0,0.5,1.0,0.058823529411764705,0.6131471927654584,0.3333333333333333,1.0,0.058823529411764705,0.46927872602275644,0.25,1.0,0.058823529411764705,0.3903800499921017,0.2,1.0,0.058823529411764705,0.3391602052736161,0.3333333333333333,1.0,0.11764705882352941,0.4103915680233244,0.2857142857142857,1.0,0.11764705882352941,0.3727892582642586,0.25,1.0,0.11764705882352941,0.3430427114200248,0.3333333333333333,1.0,0.17647058823529413,0.3895262241347594,0.4,1.0,0.23529411764705882,0.42836504693009625,0.36363636363636365,1.0,0.23529411764705882,0.4035875764439629,0.3333333333333333,1.0,0.23529411764705882,0.38217184494690065,0.3076923076923077,1.0,0.23529411764705882,0.36342862402706966,0.2857142857142857,1.0,0.23529411764705882,0.3468510614167586,0.26666666666666666,1.0,0.23529411764705882,0.33205706430490417,0.25,1.0,0.23529411764705882,0.3187524524117895,0.23529411764705882,1.0,0.23529411764705882,0.30670658282052643,0.2222222222222222,1.0,0.23529411764705882,0.30670658282052643,0.21052631578947367,1.0,0.23529411764705882,0.30670658282052643,0.2,1.0,0.23529411764705882,0.30670658282052643,bm25_full_llm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.023809523809523808,0.16812753627111746,0.2,1.0,0.023809523809523808,0.14606834984270645,0.3333333333333333,1.0,0.047619047619047616,0.23811292043488155,0.2857142857142857,1.0,0.047619047619047616,0.2162957183053307,0.25,1.0,0.047619047619047616,0.19903650127012357,0.3333333333333333,1.0,0.07142857142857142,0.2557092829325743,0.3,1.0,0.07142857142857142,0.23944085680261515,0.2727272727272727,1.0,0.07142857142857142,0.22559113025485267,0.25,1.0,0.07142857142857142,0.21362049648008502,0.23076923076923078,1.0,0.07142857142857142,0.20314370125963513,0.21428571428571427,1.0,0.07142857142857142,0.19387743216611678,0.2,1.0,0.07142857142857142,0.18560811288018567,0.1875,1.0,0.07142857142857142,0.17817130706714393,0.17647058823529413,1.0,0.07142857142857142,0.17143809352291356,0.16666666666666666,1.0,0.07142857142857142,0.16530578738574567,0.15789473684210525,1.0,0.07142857142857142,0.1596914597882119,0.15,1.0,0.07142857142857142,0.1545273108676805,bm25_full_llm
0.0,0.0,0.0,0.0,0.5,1.0,0.0625,0.38685280723454163,0.6666666666666666,1.0,0.125,0.5307212739772434,0.5,1.0,0.125,0.44149241373678083,0.4,1.0,0.125,0.38356636737133565,0.3333333333333333,1.0,0.125,0.3422220729283414,0.2857142857142857,1.0,0.125,0.3108658234453849,0.25,1.0,0.125,0.2860604285087249,0.2222222222222222,1.0,0.125,0.26582000527739175,0.2,1.0,0.125,0.2489083270225946,0.18181818181818182,1.0,0.125,0.2345109835167376,0.16666666666666666,1.0,0.125,0.22206703194529032,0.15384615384615385,1.0,0.125,0.2111759851719728,0.14285714285714285,1.0,0.125,0.20154332862117302,0.13333333333333333,1.0,0.125,0.19294704118484146,0.125,1.0,0.125,0.18521618473020524,0.11764705882352941,1.0,0.125,0.18521618473020524,0.1111111111111111,1.0,0.125,0.18521618473020524,0.10526315789473684,1.0,0.125,0.18521618473020524,0.1,1.0,0.125,0.18521618473020524,bm25_full_llm
1.0,1.0,0.05,1.0,0.5,1.0,0.05,0.6131471927654584,0.3333333333333333,1.0,0.05,0.46927872602275644,0.25,1.0,0.05,0.3903800499921017,0.2,1.0,0.05,0.3391602052736161,0.16666666666666666,1.0,0.05,0.30260241349881345,0.14285714285714285,1.0,0.05,0.27487633291429087,0.125,1.0,0.05,0.2529427027676571,0.2222222222222222,1.0,0.1,0.305801310135566,0.2,1.0,0.1,0.2863459897524692,0.2727272727272727,1.0,0.15,0.3276251307630206,0.25,1.0,0.15,0.31024022537536683,0.23076923076923078,1.0,0.15,0.29502481597429864,0.21428571428571427,1.0,0.15,0.28156744901124636,0.2,1.0,0.15,0.26955794841911895,0.1875,1.0,0.15,0.25875750394151703,0.17647058823529413,1.0,0.15,0.24897888380963637,0.16666666666666666,1.0,0.15,0.2400729591937226,0.15789473684210525,1.0,0.15,0.2319192928185843,0.15,1.0,0.15,0.2244194192045045,bm25_full_llm
