P@1,HR@1,R@1,NDCG@1,P@2,HR@2,R@2,NDCG@2,P@3,HR@3,R@3,NDCG@3,P@4,HR@4,R@4,NDCG@4,P@5,HR@5,R@5,NDCG@5,P@6,HR@6,R@6,NDCG@6,P@7,HR@7,R@7,NDCG@7,P@8,HR@8,R@8,NDCG@8,P@9,HR@9,R@9,NDCG@9,P@10,HR@10,R@10,NDCG@10,P@11,HR@11,R@11,NDCG@11,P@12,HR@12,R@12,NDCG@12,P@13,HR@13,R@13,NDCG@13,P@14,HR@14,R@14,NDCG@14,P@15,HR@15,R@15,NDCG@15,P@16,HR@16,R@16,NDCG@16,P@17,HR@17,R@17,NDCG@17,P@18,HR@18,R@18,NDCG@18,P@19,HR@19,R@19,NDCG@19,P@20,HR@20,R@20,NDCG@20,method
0.0,0.0,0.0,0.0,0.5,1.0,0.03125,0.38685280723454163,0.3333333333333333,1.0,0.03125,0.2960819109658652,0.25,1.0,0.03125,0.24630238874073,0.2,1.0,0.03125,0.21398626473452756,0.16666666666666666,1.0,0.03125,0.19092086617893467,0.14285714285714285,1.0,0.03125,0.17342765698823945,0.125,1.0,0.03125,0.15958907712489634,0.1111111111111111,1.0,0.03125,0.1482972305701491,0.1,1.0,0.03125,0.13886244387355454,0.09090909090909091,1.0,0.03125,0.13083036905940468,0.16666666666666666,1.0,0.0625,0.17695147022320376,0.15384615384615385,1.0,0.0625,0.1682730692830633,0.14285714285714285,1.0,0.0625,0.16059740160791225,0.13333333333333333,1.0,0.0625,0.153747552321437,0.125,1.0,0.0625,0.14758731140792106,0.11764705882352941,1.0,0.0625,0.14200988763253242,0.1111111111111111,1.0,0.0625,0.13693022250343376,0.10526315789473684,1.0,0.0625,0.13227962230790932,0.1,1.0,0.0625,0.12800192536872637,rrf_only
1.0,1.0,0.0625,1.0,0.5,1.0,0.0625,0.6131471927654584,0.3333333333333333,1.0,0.0625,0.46927872602275644,0.25,1.0,0.0625,0.3903800499921017,0.2,1.0,0.0625,0.3391602052736161,0.16666666666666666,1.0,0.0625,0.30260241349881345,0.14285714285714285,1.0,0.0625,0.27487633291429087,0.125,1.0,0.0625,0.2529427027676571,0.1111111111111111,1.0,0.0625,0.23504554941448536,0.1,1.0,0.0625,0.22009176629808017,0.09090909090909091,1.0,0.0625,0.2073612289146658,0.08333333333333333,1.0,0.0625,0.19635793579928928,0.07692307692307693,1.0,0.0625,0.18672776492534796,0.07142857142857142,1.0,0.0625,0.17821029819465137,0.06666666666666667,1.0,0.0625,0.17060921827860473,0.0625,1.0,0.0625,0.1637733768567814,0.058823529411764705,1.0,0.0625,0.1637733768567814,0.05555555555555555,1.0,0.0625,0.1637733768567814,0.05263157894736842,1.0,0.0625,0.1637733768567814,0.05,1.0,0.0625,0.1637733768567814,rrf_only
1.0,1.0,0.015384615384615385,1.0,1.0,1.0,0.03076923076923077,1.0,0.6666666666666666,1.0,0.03076923076923077,0.7653606369886217,0.5,1.0,0.03076923076923077,0.6366824387328317,0.4,1.0,0.03076923076923077,0.5531464700081437,0.5,1.0,0.046153846153846156,0.601312434202259,0.42857142857142855,1.0,0.046153846153846156,0.546216915252498,0.375,1.0,0.046153846153846156,0.5026317885449211,0.3333333333333333,1.0,0.046153846153846156,0.4670676939838279,0.3,1.0,0.046153846153846156,0.43735247915031,0.2727272727272727,1.0,0.046153846153846156,0.41205515804102627,0.25,1.0,0.046153846153846156,0.3901901078223374,0.23076923076923078,1.0,0.046153846153846156,0.371053639533673,0.2857142857142857,1.0,0.06153846153846154,0.39974262267876853,0.26666666666666666,1.0,0.06153846153846154,0.38269267858680256,0.25,1.0,0.06153846153846154,0.3673592371086274,0.23529411764705882,1.0,0.06153846153846154,0.353476484427435,0.2222222222222222,1.0,0.06153846153846154,0.34083270164698093,0.2631578947368421,1.0,0.07692307692307693,0.36322018857688043,0.25,1.0,0.07692307692307693,0.35147426836773366,rrf_only
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0.029411764705882353,0.09162544430476362,0.125,1.0,0.029411764705882353,0.0843142342558857,0.2222222222222222,1.0,0.058823529411764705,0.1491042771925757,0.2,1.0,0.058823529411764705,0.13961814555374907,0.18181818181818182,1.0,0.058823529411764705,0.13154235947928158,0.16666666666666666,1.0,0.058823529411764705,0.12456227382867811,0.15384615384615385,1.0,0.058823529411764705,0.11845324657427171,0.14285714285714285,1.0,0.058823529411764705,0.11305007802436315,0.13333333333333333,1.0,0.058823529411764705,0.10822823166484517,0.125,1.0,0.058823529411764705,0.10389182454399959,0.11764705882352941,1.0,0.058823529411764705,0.09996568260976071,0.1111111111111111,1.0,0.058823529411764705,0.09638993024121213,0.10526315789473684,1.0,0.058823529411764705,0.09311621155273833,0.1,1.0,0.058823529411764705,0.09010499239291735,rrf_only
0.0,0.0,0.0,0.0,0.5,1.0,0.020833333333333332,0.38685280723454163,0.6666666666666666,1.0,0.041666666666666664,0.5307212739772434,0.75,1.0,0.0625,0.6096199500078984,0.8,1.0,0.08333333333333333,0.6608397947263839,0.8333333333333334,1.0,0.10416666666666667,0.6973975865011866,0.7142857142857143,1.0,0.10416666666666667,0.6334982227809455,0.75,1.0,0.125,0.6627430629764571,0.6666666666666666,1.0,0.125,0.6158501733929389,0.7,1.0,0.14583333333333334,0.6402900881481708,0.7272727272727273,1.0,0.16666666666666666,0.6610964116060527,0.75,1.0,0.1875,0.6790797903720326,0.6923076923076923,1.0,0.1875,0.6457750278642033,0.7142857142857143,1.0,0.20833333333333334,0.6619327718213208,0.6666666666666666,1.0,0.20833333333333334,0.6336998136329643,0.625,1.0,0.20833333333333334,0.608309207669575,0.6470588235294118,1.0,0.22916666666666666,0.6231114661896613,0.6111111111111112,1.0,0.22916666666666666,0.6008228943225002,0.5789473684210527,1.0,0.22916666666666666,0.5804169750248689,0.6,1.0,0.25,0.5939855730474075,rrf_only
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.047619047619047616,0.23463936301137822,0.25,1.0,0.047619047619047616,0.19519002499605084,0.2,1.0,0.047619047619047616,0.16958010263680806,0.16666666666666666,1.0,0.047619047619047616,0.15130120674940672,0.14285714285714285,1.0,0.047619047619047616,0.13743816645714543,0.25,1.0,0.09523809523809523,0.20626588994627673,0.2222222222222222,1.0,0.09523809523809523,0.19167138999231723,0.2,1.0,0.09523809523809523,0.17947710508581735,0.18181818181818182,1.0,0.09523809523809523,0.16909579898703525,0.16666666666666666,1.0,0.09523809523809523,0.16012299992246748,0.15384615384615385,1.0,0.09523809523809523,0.1522699338173234,0.21428571428571427,1.0,0.14285714285714285,0.19093859478592054,0.26666666666666666,1.0,0.19047619047619047,0.22544692825666143,0.25,1.0,0.19047619047619047,0.21641389085018864,0.23529411764705882,1.0,0.19047619047619047,0.20823546434022902,0.2222222222222222,1.0,0.19047619047619047,0.20078692364714837,0.21052631578947367,1.0,0.19047619047619047,0.19396754010054848,0.2,1.0,0.19047619047619047,0.18769496131545355,rrf_only
0.0,0.0,0.0,0.0,0.5,1.0,0.058823529411764705,0.38685280723454163,0.3333333333333333,1.0,0.058823529411764705,0.2960819109658652,0.25,1.0,0.058823529411764705,0.24630238874073,0.4,1.0,0.11764705882352941,0.34519134224686937,0.3333333333333333,1.0,0.11764705882352941,0.3079834593168982,0.42857142857142855,1.0,0.17647058823529413,0.3713897823232329,0.375,1.0,0.17647058823529413,0.34175490601594244,0.4444444444444444,1.0,0.23529411764705882,0.38832953838170364,0.5,1.0,0.29411764705882354,0.42724449526787633,0.5454545454545454,1.0,0.35294117647058826,0.46037379168450593,0.5,1.0,0.35294117647058826,0.4359447901828485,0.5384615384615384,1.0,0.4117647058823529,0.4636082916897514,0.5,1.0,0.4117647058823529,0.4424610980620591,0.4666666666666667,1.0,0.4117647058823529,0.4235891125472938,0.4375,1.0,0.4117647058823529,0.40661706361230787,0.47058823529411764,1.0,0.47058823529411764,0.42904140392819917,0.5,1.0,0.5294117647058824,0.46613814587624713,0.47368421052631576,1.0,0.5294117647058824,0.46613814587624713,0.45,1.0,0.5294117647058824,0.46613814587624713,rrf_only
1.0,1.0,0.023809523809523808,1.0,0.5,1.0,0.023809523809523808,0.6131471927654584,0.3333333333333333,1.0,0.023809523809523808,0.46927872602275644,0.5,1.0,0.047619047619047616,0.5585075862632192,0.6,1.0,0.07142857142857142,0.6164336326286644,0.5,1.0,0.07142857142857142,0.5499887725471476,0.42857142857142855,1.0,0.07142857142857142,0.49959580689988364,0.375,1.0,0.07142857142857142,0.45973079002057343,0.3333333333333333,1.0,0.07142857142857142,0.4272021882457644,0.3,1.0,0.07142857142857142,0.40002324830925196,0.2727272727272727,1.0,0.07142857142857142,0.3768851227787459,0.25,1.0,0.07142857142857142,0.35688631442645846,0.23076923076923078,1.0,0.07142857142857142,0.3393831960701369,0.21428571428571427,1.0,0.07142857142857142,0.3239024501690625,0.2,1.0,0.07142857142857142,0.31008726421359534,0.1875,1.0,0.07142857142857142,0.2976629216928431,0.17647058823529413,1.0,0.07142857142857142,0.28641403965370454,0.2222222222222222,1.0,0.09523809523809523,0.31193886598667797,0.21052631578947367,1.0,0.09523809523809523,0.30134439732499935,0.2,1.0,0.09523809523809523,0.29159943446838854,rrf_only
1.0,1.0,0.0625,1.0,1.0,1.0,0.125,1.0,0.6666666666666666,1.0,0.125,0.7653606369886217,0.75,1.0,0.1875,0.8048099750039491,0.8,1.0,0.25,0.830419897363192,0.8333333333333334,1.0,0.3125,0.8486987932505933,0.7142857142857143,1.0,0.3125,0.7709363892380909,0.625,1.0,0.3125,0.7094198757978375,0.5555555555555556,1.0,0.3125,0.659224332815107,0.5,1.0,0.3125,0.6172839611614819,0.45454545454545453,1.0,0.3125,0.5815790519051064,0.4166666666666667,1.0,0.3125,0.5507184864495066,0.38461538461538464,1.0,0.3125,0.523709070678462,0.35714285714285715,1.0,0.3125,0.49982041872650845,0.3333333333333333,1.0,0.3125,0.4785019259968548,0.3125,1.0,0.3125,0.4593296718879938,0.29411764705882354,1.0,0.3125,0.4593296718879938,0.2777777777777778,1.0,0.3125,0.4593296718879938,0.2631578947368421,1.0,0.3125,0.4593296718879938,0.25,1.0,0.3125,0.4593296718879938,rrf_only
1.0,1.0,0.05,1.0,1.0,1.0,0.1,1.0,0.6666666666666666,1.0,0.1,0.7653606369886217,0.5,1.0,0.1,0.6366824387328317,0.6,1.0,0.15,0.6843515475204855,0.5,1.0,0.15,0.6105858728157117,0.5714285714285714,1.0,0.2,0.6462661152375239,0.5,1.0,0.2,0.5946976087835997,0.4444444444444444,1.0,0.2,0.5526193270751085,0.4,1.0,0.2,0.5174612499126158,0.36363636363636365,1.0,0.2,0.4875302811295354,0.3333333333333333,1.0,0.2,0.46166026379809977,0.3076923076923077,1.0,0.2,0.4390186159930986,0.2857142857142857,1.0,0.2,0.4189930645847549,0.26666666666666666,1.0,0.2,0.40112204478151436,0.25,1.0,0.2,0.3850501893648495,0.23529411764705882,1.0,0.2,0.3704988836977544,0.2222222222222222,1.0,0.2,0.3572462131178058,0.21052631578947367,1.0,0.2,0.3451129581051342,0.2,1.0,0.2,0.3339525947868725,rrf_only
