P@1,HR@1,R@1,NDCG@1,P@2,HR@2,R@2,NDCG@2,P@3,HR@3,R@3,NDCG@3,P@4,HR@4,R@4,NDCG@4,P@5,HR@5,R@5,NDCG@5,P@6,HR@6,R@6,NDCG@6,P@7,HR@7,R@7,NDCG@7,P@8,HR@8,R@8,NDCG@8,P@9,HR@9,R@9,NDCG@9,P@10,HR@10,R@10,NDCG@10,P@11,HR@11,R@11,NDCG@11,P@12,HR@12,R@12,NDCG@12,P@13,HR@13,R@13,NDCG@13,P@14,HR@14,R@14,NDCG@14,P@15,HR@15,R@15,NDCG@15,P@16,HR@16,R@16,NDCG@16,P@17,HR@17,R@17,NDCG@17,P@18,HR@18,R@18,NDCG@18,P@19,HR@19,R@19,NDCG@19,P@20,HR@20,R@20,NDCG@20,method
0.0,0.0,0.0,0.0,0.5,1.0,0.03125,0.38685280723454163,0.3333333333333333,1.0,0.03125,0.2960819109658652,0.5,1.0,0.0625,0.4144299250118475,0.4,1.0,0.0625,0.36005461457723403,0.3333333333333333,1.0,0.0625,0.3212446320893053,0.2857142857142857,1.0,0.0625,0.2918104499436024,0.25,1.0,0.0625,0.26852556974265224,0.2222222222222222,1.0,0.0625,0.24952583878244927,0.2,1.0,0.0625,0.23365080824310533,0.18181818181818182,1.0,0.0625,0.2201359894062419,0.16666666666666666,1.0,0.0625,0.20845482398607987,0.15384615384615385,1.0,0.0625,0.19823137380408537,0.14285714285714285,1.0,0.0625,0.1891891773635528,0.13333333333333333,1.0,0.0625,0.1811198229493608,0.125,1.0,0.0625,0.17386285055054984,0.11764705882352941,1.0,0.0625,0.16729245647624302,0.16666666666666666,1.0,0.09375,0.19707823788972,0.15789473684210525,1.0,0.09375,0.19038481349511233,0.15,1.0,0.09375,0.18422809396608883,rrf_hop_llm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.0625,0.10778915452451093,0.14285714285714285,1.0,0.0625,0.0979129253499678,0.125,1.0,0.0625,0.09010000865236768,0.1111111111111111,1.0,0.0625,0.08372491399919346,0.1,1.0,0.0625,0.07839826897867533,0.09090909090909091,1.0,0.0625,0.07386356006695578,0.08333333333333333,1.0,0.0625,0.06994410797740244,0.07692307692307693,1.0,0.0625,0.0665137718990262,0.07142857142857142,1.0,0.0625,0.0634797890335986,0.06666666666666667,1.0,0.0625,0.060772229737720354,0.0625,1.0,0.0625,0.05833725389333616,0.11764705882352941,1.0,0.125,0.09761215135555304,0.1111111111111111,1.0,0.125,0.09761215135555304,0.10526315789473684,1.0,0.125,0.09761215135555304,0.1,1.0,0.125,0.09761215135555304,rrf_hop_llm
1.0,1.0,0.015384615384615385,1.0,0.5,1.0,0.015384615384615385,0.6131471927654584,0.3333333333333333,1.0,0.015384615384615385,0.46927872602275644,0.25,1.0,0.015384615384615385,0.3903800499921017,0.4,1.0,0.03076923076923077,0.4703652827859579,0.5,1.0,0.046153846153846156,0.5274541611612878,0.5714285714285714,1.0,0.06153846153846154,0.570751383599252,0.625,1.0,0.07692307692307693,0.6050030788735191,0.5555555555555556,1.0,0.07692307692307693,0.5621956257892273,0.5,1.0,0.07692307692307693,0.5264282969545138,0.5454545454545454,1.0,0.09230769230769231,0.5538206086740839,0.5833333333333334,1.0,0.1076923076923077,0.5774964069440666,0.5384615384615384,1.0,0.1076923076923077,0.5491736958943682,0.5,1.0,0.1076923076923077,0.524123491464277,0.4666666666666667,1.0,0.1076923076923077,0.5017684166742337,0.4375,1.0,0.1076923076923077,0.4816639383730481,0.4117647058823529,1.0,0.1076923076923077,0.4634615341419416,0.3888888888888889,1.0,0.1076923076923077,0.44688360824602624,0.3684210526315789,1.0,0.1076923076923077,0.43170597282055606,0.35,1.0,0.1076923076923077,0.41774533938101627,rrf_hop_llm
1.0,1.0,0.029411764705882353,1.0,0.5,1.0,0.029411764705882353,0.6131471927654584,0.3333333333333333,1.0,0.029411764705882353,0.46927872602275644,0.25,1.0,0.029411764705882353,0.3903800499921017,0.4,1.0,0.058823529411764705,0.4703652827859579,0.3333333333333333,1.0,0.058823529411764705,0.41966500663677697,0.2857142857142857,1.0,0.058823529411764705,0.38121301394452073,0.25,1.0,0.058823529411764705,0.35079429740281753,0.2222222222222222,1.0,0.058823529411764705,0.3259735800334642,0.2,1.0,0.058823529411764705,0.30523488393970116,0.18181818181818182,1.0,0.058823529411764705,0.28757950243190866,0.16666666666666666,1.0,0.058823529411764705,0.27231955448602424,0.23076923076923078,1.0,0.08823529411764706,0.3080078856115274,0.21428571428571427,1.0,0.08823529411764706,0.2939583042890218,0.2,1.0,0.08823529411764706,0.28142030516370825,0.1875,1.0,0.08823529411764706,0.2701445687270125,0.17647058823529413,1.0,0.08823529411764706,0.25993562375717216,0.16666666666666666,1.0,0.08823529411764706,0.25063777875622073,0.15789473684210525,1.0,0.08823529411764706,0.24212529640149252,0.15,1.0,0.08823529411764706,0.23429537807208783,rrf_hop_llm
1.0,1.0,0.020833333333333332,1.0,1.0,1.0,0.041666666666666664,1.0,1.0,1.0,0.0625,1.0,1.0,1.0,0.08333333333333333,1.0,0.8,1.0,0.08333333333333333,0.8687949224876582,0.8333333333333334,1.0,0.10416666666666667,0.8829374068620365,0.8571428571428571,1.0,0.125,0.8936633189697701,0.875,1.0,0.14583333333333334,0.9021484053648395,0.8888888888888888,1.0,0.16666666666666666,0.9090719693810212,0.9,1.0,0.1875,0.914856882358379,0.8181818181818182,1.0,0.1875,0.8619397744754621,0.8333333333333334,1.0,0.20833333333333334,0.8692657202994358,0.8461538461538461,1.0,0.22916666666666666,0.8756774471668693,0.8571428571428571,1.0,0.25,0.8813483403415121,0.8,1.0,0.25,0.8437568024973093,0.75,1.0,0.25,0.809949791606271,0.7058823529411765,1.0,0.25,0.7793412441540444,0.7222222222222222,1.0,0.2708333333333333,0.7872341634865446,0.6842105263157895,1.0,0.2708333333333333,0.7604971050950545,0.65,1.0,0.2708333333333333,0.7359039282930363,rrf_hop_llm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,1.0,0.047619047619047616,0.07075576072108061,0.1,1.0,0.047619047619047616,0.06625422345438903,0.18181818181818182,1.0,0.09523809523809523,0.1202639018483548,0.16666666666666666,1.0,0.09523809523809523,0.11388228957607756,0.15384615384615385,1.0,0.09523809523809523,0.1082970510489507,0.14285714285714285,1.0,0.09523809523809523,0.10335715081659498,0.2,1.0,0.14285714285714285,0.14160103471016539,0.25,1.0,0.19047619047619047,0.17599471673147513,0.23529411764705882,1.0,0.19047619047619047,0.16934375800015264,0.2222222222222222,1.0,0.19047619047619047,0.16328636582356146,0.21052631578947367,1.0,0.19047619047619047,0.15774062441642625,0.2,1.0,0.19047619047619047,0.1526395621781301,rrf_hop_llm
1.0,1.0,0.058823529411764705,1.0,0.5,1.0,0.058823529411764705,0.6131471927654584,0.3333333333333333,1.0,0.058823529411764705,0.46927872602275644,0.25,1.0,0.058823529411764705,0.3903800499921017,0.4,1.0,0.11764705882352941,0.4703652827859579,0.5,1.0,0.17647058823529413,0.5274541611612878,0.42857142857142855,1.0,0.17647058823529413,0.4791259392944885,0.375,1.0,0.17647058823529413,0.4408943060551852,0.4444444444444444,1.0,0.23529411764705882,0.4804542547537382,0.4,1.0,0.23529411764705882,0.44988737637276544,0.45454545454545453,1.0,0.29411764705882354,0.48170696434721916,0.5,1.0,0.35294117647058826,0.5092093582170623,0.46153846153846156,1.0,0.35294117647058826,0.4842357144970917,0.42857142857142855,1.0,0.35294117647058826,0.4621476142636154,0.4,1.0,0.35294117647058826,0.442435953463906,0.375,1.0,0.35294117647058826,0.42470876352828607,0.4117647058823529,1.0,0.4117647058823529,0.44644940633464225,0.3888888888888889,1.0,0.4117647058823529,0.44644940633464225,0.3684210526315789,1.0,0.4117647058823529,0.44644940633464225,0.4,1.0,0.47058823529411764,0.4823266564539051,rrf_hop_llm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.023809523809523808,0.10778915452451093,0.2857142857142857,1.0,0.047619047619047616,0.18953836965473142,0.25,1.0,0.047619047619047616,0.1744142429082534,0.3333333333333333,1.0,0.07142857142857142,0.23282919119176917,0.4,1.0,0.09523809523809523,0.2816372027313761,0.36363636363636365,1.0,0.09523809523809523,0.26534675716751904,0.3333333333333333,1.0,0.09523809523809523,0.2512665544140411,0.3076923076923077,1.0,0.09523809523809523,0.238943447410171,0.2857142857142857,1.0,0.09523809523809523,0.22804419595365763,0.26666666666666666,1.0,0.09523809523809523,0.21831758545250102,0.25,1.0,0.09523809523809523,0.20957020117393524,0.23529411764705882,1.0,0.09523809523809523,0.20165040230037332,0.2222222222222222,1.0,0.09523809523809523,0.19443740795251166,0.21052631578947367,1.0,0.09523809523809523,0.18783367481815166,0.2,1.0,0.09523809523809523,0.18175945475442346,rrf_hop_llm
0.0,0.0,0.0,0.0,0.5,1.0,0.0625,0.38685280723454163,0.6666666666666666,1.0,0.125,0.5307212739772434,0.5,1.0,0.125,0.44149241373678083,0.4,1.0,0.125,0.38356636737133565,0.3333333333333333,1.0,0.125,0.3422220729283414,0.2857142857142857,1.0,0.125,0.3108658234453849,0.375,1.0,0.1875,0.36585496707117304,0.3333333333333333,1.0,0.1875,0.3399686205624663,0.3,1.0,0.1875,0.31833954895937183,0.36363636363636365,1.0,0.25,0.35776812005373504,0.3333333333333333,1.0,0.25,0.3387837249819423,0.3076923076923077,1.0,0.25,0.32216842930975054,0.35714285714285715,1.0,0.3125,0.35308727983355015,0.3333333333333333,1.0,0.3125,0.3380272936344199,0.375,1.0,0.375,0.36455071653001503,0.35294117647058826,1.0,0.375,0.36455071653001503,0.3333333333333333,1.0,0.375,0.36455071653001503,0.3157894736842105,1.0,0.375,0.36455071653001503,0.3,1.0,0.375,0.36455071653001503,rrf_hop_llm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.05,0.23463936301137822,0.25,1.0,0.05,0.19519002499605084,0.2,1.0,0.05,0.16958010263680806,0.16666666666666666,1.0,0.05,0.15130120674940672,0.14285714285714285,1.0,0.05,0.13743816645714543,0.125,1.0,0.05,0.12647135138382856,0.2222222222222222,1.0,0.1,0.1882785354283233,0.3,1.0,0.15,0.23992089480238082,0.2727272727272727,1.0,0.15,0.22604340191967423,0.25,1.0,0.15,0.21404876906985354,0.23076923076923078,1.0,0.15,0.20355096966536948,0.21428571428571427,1.0,0.15,0.19426612328583429,0.26666666666666666,1.0,0.2,0.22863252999753267,0.25,1.0,0.2,0.21947185430425803,0.23529411764705882,1.0,0.2,0.2111778652983745,0.2222222222222222,1.0,0.2,0.2036240755145996,0.21052631578947367,1.0,0.2,0.19670833297004972,0.2,1.0,0.2,0.19034712162716363,rrf_hop_llm
