P@1,HR@1,R@1,NDCG@1,P@2,HR@2,R@2,NDCG@2,P@3,HR@3,R@3,NDCG@3,P@4,HR@4,R@4,NDCG@4,P@5,HR@5,R@5,NDCG@5,P@6,HR@6,R@6,NDCG@6,P@7,HR@7,R@7,NDCG@7,P@8,HR@8,R@8,NDCG@8,P@9,HR@9,R@9,NDCG@9,P@10,HR@10,R@10,NDCG@10,P@11,HR@11,R@11,NDCG@11,P@12,HR@12,R@12,NDCG@12,P@13,HR@13,R@13,NDCG@13,P@14,HR@14,R@14,NDCG@14,P@15,HR@15,R@15,NDCG@15,P@16,HR@16,R@16,NDCG@16,P@17,HR@17,R@17,NDCG@17,P@18,HR@18,R@18,NDCG@18,P@19,HR@19,R@19,NDCG@19,P@20,HR@20,R@20,NDCG@20,method
0.0,0.0,0.0,0.0,0.5,1.0,0.03125,0.38685280723454163,0.3333333333333333,1.0,0.03125,0.2960819109658652,0.25,1.0,0.03125,0.24630238874073,0.2,1.0,0.03125,0.21398626473452756,0.16666666666666666,1.0,0.03125,0.19092086617893467,0.14285714285714285,1.0,0.03125,0.17342765698823945,0.125,1.0,0.03125,0.15958907712489634,0.1111111111111111,1.0,0.03125,0.1482972305701491,0.1,1.0,0.03125,0.13886244387355454,0.18181818181818182,1.0,0.0625,0.18867232106669982,0.16666666666666666,1.0,0.0625,0.17866072505947486,0.15384615384615385,1.0,0.0625,0.16989849549242714,0.14285714285714285,1.0,0.0625,0.16214868504762964,0.13333333333333333,1.0,0.0625,0.1552326699474097,0.125,1.0,0.0625,0.1490129244614777,0.11764705882352941,1.0,0.0625,0.14338162580983066,0.1111111111111111,1.0,0.0625,0.13825289388192213,0.10526315789473684,1.0,0.0625,0.13355737142118151,0.1,1.0,0.0625,0.12923835425915906,rrf_llm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,1.0,0.0625,0.04265230456965118,0.0625,1.0,0.0625,0.04094334421419535,0.058823529411764705,1.0,0.0625,0.04094334421419535,0.05555555555555555,1.0,0.0625,0.04094334421419535,0.05263157894736842,1.0,0.0625,0.04094334421419535,0.05,1.0,0.0625,0.04094334421419535,rrf_llm
1.0,1.0,0.015384615384615385,1.0,0.5,1.0,0.015384615384615385,0.6131471927654584,0.3333333333333333,1.0,0.015384615384615385,0.46927872602275644,0.5,1.0,0.03076923076923077,0.5585075862632192,0.6,1.0,0.046153846153846156,0.6164336326286644,0.6666666666666666,1.0,0.06153846153846154,0.6577779270716585,0.7142857142857143,1.0,0.07692307692307693,0.6891341765546151,0.625,1.0,0.07692307692307693,0.6341450329288268,0.5555555555555556,1.0,0.07692307692307693,0.589275618716453,0.5,1.0,0.07692307692307693,0.5517854393872873,0.45454545454545453,1.0,0.07692307692307693,0.5198690924839237,0.4166666666666667,1.0,0.07692307692307693,0.4922830676702907,0.38461538461538464,1.0,0.07692307692307693,0.46813955627761245,0.35714285714285715,1.0,0.07692307692307693,0.44678567193421154,0.3333333333333333,1.0,0.07692307692307693,0.4277292333775173,0.3125,1.0,0.07692307692307693,0.4105913012051064,0.29411764705882354,1.0,0.07692307692307693,0.39507477974087557,0.2777777777777778,1.0,0.07692307692307693,0.38094303430052273,0.2631578947368421,1.0,0.07692307692307693,0.36800495739235695,0.25,1.0,0.07692307692307693,0.3561043059361779,rrf_llm
1.0,1.0,0.029411764705882353,1.0,0.5,1.0,0.029411764705882353,0.6131471927654584,0.3333333333333333,1.0,0.029411764705882353,0.46927872602275644,0.25,1.0,0.029411764705882353,0.3903800499921017,0.2,1.0,0.029411764705882353,0.3391602052736161,0.16666666666666666,1.0,0.029411764705882353,0.30260241349881345,0.14285714285714285,1.0,0.029411764705882353,0.27487633291429087,0.125,1.0,0.029411764705882353,0.2529427027676571,0.1111111111111111,1.0,0.029411764705882353,0.23504554941448536,0.2,1.0,0.058823529411764705,0.28371255449703187,0.18181818181818182,1.0,0.058823529411764705,0.26730206653594746,0.16666666666666666,1.0,0.058823529411764705,0.25311810840724985,0.15384615384615385,1.0,0.058823529411764705,0.24070419386222106,0.14285714285714285,1.0,0.058823529411764705,0.22972462709034727,0.13333333333333333,1.0,0.058823529411764705,0.21992634232854022,0.125,1.0,0.058823529411764705,0.2111144995933809,0.11764705882352941,1.0,0.058823529411764705,0.20313634064374775,0.1111111111111111,1.0,0.058823529411764705,0.195870194580096,0.10526315789473684,1.0,0.058823529411764705,0.18921779930491298,0.1,1.0,0.058823529411764705,0.18309881902054637,rrf_llm
1.0,1.0,0.020833333333333332,1.0,1.0,1.0,0.041666666666666664,1.0,1.0,1.0,0.0625,1.0,1.0,1.0,0.08333333333333333,1.0,1.0,1.0,0.10416666666666667,1.0,1.0,1.0,0.125,1.0,1.0,1.0,0.14583333333333334,1.0,0.875,1.0,0.14583333333333334,0.9202054614375518,0.8888888888888888,1.0,0.16666666666666666,0.9258513847149255,0.9,1.0,0.1875,0.9305687780632227,0.9090909090909091,1.0,0.20833333333333334,0.9345848154702976,0.9166666666666666,1.0,0.22916666666666666,0.9380559679771772,0.8461538461538461,1.0,0.22916666666666666,0.8920499880091735,0.8571428571428571,1.0,0.25,0.8969740582784115,0.8,1.0,0.25,0.8587160475536446,0.75,1.0,0.25,0.8243096609194486,0.7058823529411765,1.0,0.25,0.7931584443464502,0.6666666666666666,1.0,0.25,0.7647873262590796,0.631578947368421,1.0,0.25,0.7388126362015514,0.6,1.0,0.25,0.714920698068008,rrf_llm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.047619047619047616,0.16812753627111746,0.2,1.0,0.047619047619047616,0.14606834984270645,0.16666666666666666,1.0,0.047619047619047616,0.13032376591037062,0.14285714285714285,1.0,0.047619047619047616,0.11838279295536291,0.125,1.0,0.047619047619047616,0.10893649261775588,0.2222222222222222,1.0,0.09523809523809523,0.1719843689333808,0.2,1.0,0.09523809523809523,0.1610425878239398,0.18181818181818182,1.0,0.09523809523809523,0.15172757018789687,0.25,1.0,0.14285714285714285,0.1967397946802406,0.23076923076923078,1.0,0.14285714285714285,0.18709089593437334,0.21428571428571427,1.0,0.14285714285714285,0.17855686521658304,0.2,1.0,0.14285714285714285,0.17094100341836319,0.25,1.0,0.19047619047619047,0.20415911371245837,0.23529411764705882,1.0,0.19047619047619047,0.19644380347393184,0.2222222222222222,1.0,0.19047619047619047,0.18941704811928958,0.21052631578947367,1.0,0.19047619047619047,0.18298382289761042,0.2,1.0,0.19047619047619047,0.17706643875731493,rrf_llm
0.0,0.0,0.0,0.0,0.5,1.0,0.058823529411764705,0.38685280723454163,0.6666666666666666,1.0,0.11764705882352941,0.5307212739772434,0.5,1.0,0.11764705882352941,0.44149241373678083,0.4,1.0,0.11764705882352941,0.38356636737133565,0.3333333333333333,1.0,0.11764705882352941,0.3422220729283414,0.2857142857142857,1.0,0.11764705882352941,0.3108658234453849,0.375,1.0,0.17647058823529413,0.36585496707117304,0.4444444444444444,1.0,0.23529411764705882,0.41072438128354694,0.5,1.0,0.29411764705882354,0.44821456061271264,0.45454545454545453,1.0,0.29411764705882354,0.42228895550878126,0.4166666666666667,1.0,0.29411764705882354,0.39988086513832205,0.46153846153846156,1.0,0.35294117647058826,0.4293130843654948,0.5,1.0,0.4117647058823529,0.4553446004579414,0.4666666666666667,1.0,0.4117647058823529,0.4359231038750631,0.5,1.0,0.47058823529411764,0.45852411131492865,0.47058823529411764,1.0,0.47058823529411764,0.4411961767137731,0.4444444444444444,1.0,0.47058823529411764,0.4411961767137731,0.42105263157894735,1.0,0.47058823529411764,0.4411961767137731,0.45,1.0,0.5294117647058824,0.477073426833036,rrf_llm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.023809523809523808,0.10778915452451093,0.2857142857142857,1.0,0.047619047619047616,0.18953836965473142,0.375,1.0,0.07142857142857142,0.25420878147070153,0.4444444444444444,1.0,0.09523809523809523,0.30697780647684375,0.4,1.0,0.09523809523809523,0.2874476364692017,0.36363636363636365,1.0,0.09523809523809523,0.27082110407593973,0.3333333333333333,1.0,0.09523809523809523,0.2564504138289034,0.3076923076923077,1.0,0.09523809523809523,0.24387306982794735,0.2857142857142857,1.0,0.09523809523809523,0.23274895681988544,0.26666666666666666,1.0,0.09523809523809523,0.2228216774253351,0.25,1.0,0.09523809523809523,0.21389382658824302,0.23529411764705882,1.0,0.09523809523809523,0.2058106350019093,0.2222222222222222,1.0,0.09523809523809523,0.19844882996674107,0.21052631578947367,1.0,0.09523809523809523,0.19170885576256727,0.2,1.0,0.09523809523809523,0.18550931896920614,rrf_llm
1.0,1.0,0.0625,1.0,1.0,1.0,0.125,1.0,1.0,1.0,0.1875,1.0,0.75,1.0,0.1875,0.8318724637288826,0.6,1.0,0.1875,0.7227265726449519,0.5,1.0,0.1875,0.644824486427155,0.42857142857142855,1.0,0.1875,0.5857421563596757,0.5,1.0,0.25,0.6187976698388302,0.5555555555555556,1.0,0.3125,0.6457699306980323,0.5,1.0,0.3125,0.6046855387118412,0.45454545454545453,1.0,0.3125,0.5697093468021655,0.4166666666666667,1.0,0.3125,0.5394786283296509,0.38461538461538464,1.0,0.3125,0.5130204597177926,0.42857142857142855,1.0,0.375,0.5352337177972321,0.4,1.0,0.375,0.5124047662497978,0.375,1.0,0.375,0.49187411871966175,0.35294117647058826,1.0,0.375,0.49187411871966175,0.3333333333333333,1.0,0.375,0.49187411871966175,0.3157894736842105,1.0,0.375,0.49187411871966175,0.3,1.0,0.375,0.49187411871966175,rrf_llm
0.0,0.0,0.0,0.0,0.5,1.0,0.05,0.38685280723454163,0.3333333333333333,1.0,0.05,0.2960819109658652,0.25,1.0,0.05,0.24630238874073,0.2,1.0,0.05,0.21398626473452756,0.16666666666666666,1.0,0.05,0.19092086617893467,0.14285714285714285,1.0,0.05,0.17342765698823945,0.25,1.0,0.1,0.2393836156873445,0.3333333333333333,1.0,0.15,0.29320160657630423,0.3,1.0,0.15,0.27454788926472085,0.2727272727272727,1.0,0.15,0.2586675034301667,0.3333333333333333,1.0,0.2,0.29800513080827495,0.3076923076923077,1.0,0.2,0.2833897789035351,0.2857142857142857,1.0,0.2,0.2704631366626486,0.26666666666666666,1.0,0.2,0.25892726058285015,0.25,1.0,0.2,0.24855275848390077,0.23529411764705882,1.0,0.2,0.23915978254727063,0.2222222222222222,1.0,0.2,0.23060508520935172,0.21052631578947367,1.0,0.2,0.22277297893831544,0.2,1.0,0.2,0.2155688814854297,rrf_llm
