P@1,HR@1,R@1,NDCG@1,P@2,HR@2,R@2,NDCG@2,P@3,HR@3,R@3,NDCG@3,P@4,HR@4,R@4,NDCG@4,P@5,HR@5,R@5,NDCG@5,P@6,HR@6,R@6,NDCG@6,P@7,HR@7,R@7,NDCG@7,P@8,HR@8,R@8,NDCG@8,P@9,HR@9,R@9,NDCG@9,P@10,HR@10,R@10,NDCG@10,P@11,HR@11,R@11,NDCG@11,P@12,HR@12,R@12,NDCG@12,P@13,HR@13,R@13,NDCG@13,P@14,HR@14,R@14,NDCG@14,P@15,HR@15,R@15,NDCG@15,P@16,HR@16,R@16,NDCG@16,P@17,HR@17,R@17,NDCG@17,P@18,HR@18,R@18,NDCG@18,P@19,HR@19,R@19,NDCG@19,P@20,HR@20,R@20,NDCG@20,method
0.0,0.0,0.0,0.0,0.5,1.0,0.03125,0.38685280723454163,0.3333333333333333,1.0,0.03125,0.2960819109658652,0.25,1.0,0.03125,0.24630238874073,0.2,1.0,0.03125,0.21398626473452756,0.3333333333333333,1.0,0.0625,0.2987100207034456,0.2857142857142857,1.0,0.0625,0.27134058233820724,0.25,1.0,0.0625,0.249689085777264,0.2222222222222222,1.0,0.0625,0.23202214456934253,0.2,1.0,0.0625,0.21726071285222986,0.18181818181818182,1.0,0.0625,0.20469392912636045,0.16666666666666666,1.0,0.0625,0.19383217202304812,0.15384615384615385,1.0,0.0625,0.18432587460832503,0.14285714285714285,1.0,0.0625,0.17591796855744593,0.13333333333333333,1.0,0.0625,0.16841466178325942,0.125,1.0,0.0625,0.16166675019515067,0.11764705882352941,1.0,0.0625,0.15555725495720263,0.1111111111111111,1.0,0.0625,0.14999300322263964,0.10526315789473684,1.0,0.0625,0.14489874808041192,0.1,1.0,0.0625,0.1402129701779605,rrf_llm_working1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0.0625,0.09162544430476362,0.125,1.0,0.0625,0.0843142342558857,0.1111111111111111,1.0,0.0625,0.07834851647149511,0.1,1.0,0.0625,0.07336392209936005,0.09090909090909091,1.0,0.0625,0.06912040963822193,0.08333333333333333,1.0,0.0625,0.06545264526642976,0.07692307692307693,1.0,0.0625,0.062242588308449316,0.07142857142857142,1.0,0.0625,0.05940343273155045,0.06666666666666667,1.0,0.0625,0.056869739426201577,0.0625,1.0,0.0625,0.05459112561892713,0.058823529411764705,1.0,0.0625,0.05459112561892713,0.05555555555555555,1.0,0.0625,0.05459112561892713,0.05263157894736842,1.0,0.0625,0.05459112561892713,0.05,1.0,0.0625,0.05459112561892713,rrf_llm_working1
0.0,0.0,0.0,0.0,0.5,1.0,0.015384615384615385,0.38685280723454163,0.3333333333333333,1.0,0.015384615384615385,0.2960819109658652,0.5,1.0,0.03076923076923077,0.4144299250118475,0.4,1.0,0.03076923076923077,0.36005461457723403,0.5,1.0,0.046153846153846156,0.42903378661381625,0.42857142857142855,1.0,0.046153846153846156,0.38972337529357015,0.375,1.0,0.046153846153846156,0.3586255783950199,0.3333333333333333,1.0,0.046153846153846156,0.33325075278164273,0.4,1.0,0.06153846153846154,0.37566986542073233,0.36363636363636365,1.0,0.06153846153846154,0.35394038709447934,0.4166666666666667,1.0,0.07692307692307693,0.38822251074900094,0.38461538461538464,1.0,0.07692307692307693,0.3691825412137491,0.35714285714285715,1.0,0.07692307692307693,0.35234251737691225,0.3333333333333333,1.0,0.07692307692307693,0.33731429701291454,0.3125,1.0,0.07692307692307693,0.323799042286592,0.29411764705882354,1.0,0.07692307692307693,0.3115624586692799,0.2777777777777778,1.0,0.07692307692307693,0.3004179321632535,0.2631578947368421,1.0,0.07692307692307693,0.29021475226246546,0.25,1.0,0.07692307692307693,0.28082970310826433,rrf_llm_working1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.029411764705882353,0.16812753627111746,0.4,1.0,0.058823529411764705,0.27727342735504823,0.3333333333333333,1.0,0.058823529411764705,0.24738635904833417,0.2857142857142857,1.0,0.058823529411764705,0.22471947398559278,0.25,1.0,0.058823529411764705,0.2067880872529163,0.2222222222222222,1.0,0.058823529411764705,0.19215663883127904,0.2,1.0,0.058823529411764705,0.17993148201117176,0.18181818181818182,1.0,0.058823529411764705,0.1695238938640801,0.16666666666666666,1.0,0.058823529411764705,0.16052837862716918,0.15384615384615385,1.0,0.058823529411764705,0.15265543114478897,0.14285714285714285,1.0,0.058823529411764705,0.14569215197441113,0.13333333333333333,1.0,0.058823529411764705,0.13947804593499064,0.125,1.0,0.058823529411764705,0.1338895448360617,0.11764705882352941,1.0,0.058823529411764705,0.1288297688734749,0.1111111111111111,1.0,0.058823529411764705,0.12422155394248499,0.10526315789473684,1.0,0.058823529411764705,0.12000258188145017,0.1,1.0,0.058823529411764705,0.11612190345001776,rrf_llm_working1
1.0,1.0,0.020833333333333332,1.0,1.0,1.0,0.041666666666666664,1.0,1.0,1.0,0.0625,1.0,1.0,1.0,0.08333333333333333,1.0,1.0,1.0,0.10416666666666667,1.0,0.8333333333333334,1.0,0.10416666666666667,0.892210845475489,0.8571428571428571,1.0,0.125,0.9020870746500321,0.875,1.0,0.14583333333333334,0.9098999913476323,0.8888888888888888,1.0,0.16666666666666666,0.9162750860008065,0.8,1.0,0.16666666666666666,0.857980942822373,0.8181818181818182,1.0,0.1875,0.8661956023117626,0.8333333333333334,1.0,0.20833333333333334,0.8732957194146371,0.7692307692307693,1.0,0.20833333333333334,0.8304658385279238,0.7857142857142857,1.0,0.22916666666666666,0.8381990301110408,0.8,1.0,0.25,0.8451002143584095,0.75,1.0,0.25,0.8112393766546155,0.7058823529411765,1.0,0.25,0.7805820949159492,0.6666666666666666,1.0,0.25,0.7526608303191946,0.6842105263157895,1.0,0.2708333333333333,0.7610612810732241,0.65,1.0,0.2708333333333333,0.736449859784165,rrf_llm_working1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.047619047619047616,0.23463936301137822,0.25,1.0,0.047619047619047616,0.19519002499605084,0.2,1.0,0.047619047619047616,0.16958010263680806,0.3333333333333333,1.0,0.09523809523809523,0.25909036127391766,0.2857142857142857,1.0,0.09523809523809523,0.23535109180711322,0.25,1.0,0.09523809523809523,0.21657136003619623,0.3333333333333333,1.0,0.14285714285714285,0.27200344942751675,0.3,1.0,0.14285714285714285,0.25469837558210445,0.2727272727272727,1.0,0.14285714285714285,0.23996612436534834,0.25,1.0,0.14285714285714285,0.22723270443929544,0.23076923076923078,1.0,0.14285714285714285,0.2160883126275226,0.21428571428571427,1.0,0.14285714285714285,0.20623158342373699,0.2,1.0,0.14285714285714285,0.19743533111566633,0.1875,1.0,0.14285714285714285,0.18952464124679932,0.17647058823529413,1.0,0.14285714285714285,0.1823623775668935,0.2222222222222222,1.0,0.19047619047619047,0.2116091109328111,0.21052631578947367,1.0,0.19047619047619047,0.20442217035324545,0.2,1.0,0.19047619047619047,0.19781150669119077,rrf_llm_working1
0.0,0.0,0.0,0.0,0.5,1.0,0.058823529411764705,0.38685280723454163,0.3333333333333333,1.0,0.058823529411764705,0.2960819109658652,0.25,1.0,0.058823529411764705,0.24630238874073,0.2,1.0,0.058823529411764705,0.21398626473452756,0.3333333333333333,1.0,0.11764705882352941,0.2987100207034456,0.2857142857142857,1.0,0.11764705882352941,0.27134058233820724,0.25,1.0,0.11764705882352941,0.249689085777264,0.3333333333333333,1.0,0.17647058823529413,0.30277790529042314,0.4,1.0,0.23529411764705882,0.3471357245055706,0.45454545454545453,1.0,0.29411764705882354,0.3848986685959969,0.4166666666666667,1.0,0.29411764705882354,0.3644746342070862,0.46153846153846156,1.0,0.35294117647058826,0.3956433152303258,0.5,1.0,0.4117647058823529,0.4232106561560728,0.4666666666666667,1.0,0.4117647058823529,0.40515974635258206,0.5,1.0,0.47058823529411764,0.42899335678862993,0.47058823529411764,1.0,0.47058823529411764,0.4127814092654211,0.4444444444444444,1.0,0.47058823529411764,0.4127814092654211,0.42105263157894735,1.0,0.47058823529411764,0.4127814092654211,0.4,1.0,0.47058823529411764,0.4127814092654211,rrf_llm_working1
0.0,0.0,0.0,0.0,0.5,1.0,0.023809523809523808,0.38685280723454163,0.6666666666666666,1.0,0.047619047619047616,0.5307212739772434,0.5,1.0,0.047619047619047616,0.44149241373678083,0.4,1.0,0.047619047619047616,0.38356636737133565,0.5,1.0,0.07142857142857142,0.4500112274528523,0.42857142857142855,1.0,0.07142857142857142,0.40877874879535264,0.5,1.0,0.09523809523809523,0.45595497572354077,0.4444444444444444,1.0,0.09523809523809523,0.4236935345616598,0.4,1.0,0.09523809523809523,0.39673781793804724,0.36363636363636365,1.0,0.09523809523809523,0.3737897281133957,0.3333333333333333,1.0,0.09523809523809523,0.3539551719455156,0.3076923076923077,1.0,0.09523809523809523,0.33659580842564846,0.2857142857142857,1.0,0.09523809523809523,0.3212422074166953,0.26666666666666666,1.0,0.09523809523809523,0.30754048694533137,0.25,1.0,0.09523809523809523,0.29521818677444867,0.23529411764705882,1.0,0.09523809523809523,0.28406169291237154,0.2222222222222222,1.0,0.09523809523809523,0.2739008632683577,0.21052631578947367,1.0,0.09523809523809523,0.26459829014036773,0.2,1.0,0.09523809523809523,0.2560416335964609,rrf_llm_working1
0.0,0.0,0.0,0.0,0.5,1.0,0.0625,0.38685280723454163,0.3333333333333333,1.0,0.0625,0.2960819109658652,0.5,1.0,0.125,0.4144299250118475,0.4,1.0,0.125,0.36005461457723403,0.5,1.0,0.1875,0.42903378661381625,0.5714285714285714,1.0,0.25,0.48134881959833375,0.5,1.0,0.25,0.4429398126509056,0.4444444444444444,1.0,0.25,0.41159926925313783,0.4,1.0,0.25,0.38541299932114065,0.45454545454545453,1.0,0.3125,0.4209619111187148,0.4166666666666667,1.0,0.3125,0.3986242382437413,0.38461538461538464,1.0,0.3125,0.3790741267946892,0.35714285714285715,1.0,0.3125,0.3617829046524842,0.3333333333333333,1.0,0.3125,0.34635203001515336,0.375,1.0,0.375,0.3725419036550204,0.35294117647058826,1.0,0.375,0.3725419036550204,0.3333333333333333,1.0,0.375,0.3725419036550204,0.3157894736842105,1.0,0.375,0.3725419036550204,0.3,1.0,0.375,0.3725419036550204,rrf_llm_working1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.05,0.23463936301137822,0.25,1.0,0.05,0.19519002499605084,0.4,1.0,0.1,0.30078518014914984,0.3333333333333333,1.0,0.1,0.26836379988737025,0.2857142857142857,1.0,0.1,0.24377484748737527,0.25,1.0,0.1,0.22432294601898897,0.2222222222222222,1.0,0.1,0.2084508053262215,0.2,1.0,0.1,0.19518900079066107,0.2727272727272727,1.0,0.15,0.2417408399818709,0.3333333333333333,1.0,0.2,0.2819766537777669,0.3076923076923077,1.0,0.2,0.26814740186956915,0.2857142857142857,1.0,0.2,0.2559160308398785,0.26666666666666666,1.0,0.2,0.24500062234823977,0.25,1.0,0.2,0.2351841222814868,0.23529411764705882,1.0,0.2,0.22629635609960164,0.2222222222222222,1.0,0.2,0.21820178093948508,0.21052631578947367,1.0,0.2,0.21079093162843907,0.2,1.0,0.2,0.20397431311001304,rrf_llm_working1
