P@1,HR@1,R@1,NDCG@1,P@2,HR@2,R@2,NDCG@2,P@3,HR@3,R@3,NDCG@3,P@4,HR@4,R@4,NDCG@4,P@5,HR@5,R@5,NDCG@5,P@6,HR@6,R@6,NDCG@6,P@7,HR@7,R@7,NDCG@7,P@8,HR@8,R@8,NDCG@8,P@9,HR@9,R@9,NDCG@9,P@10,HR@10,R@10,NDCG@10,P@11,HR@11,R@11,NDCG@11,P@12,HR@12,R@12,NDCG@12,P@13,HR@13,R@13,NDCG@13,P@14,HR@14,R@14,NDCG@14,P@15,HR@15,R@15,NDCG@15,P@16,HR@16,R@16,NDCG@16,P@17,HR@17,R@17,NDCG@17,P@18,HR@18,R@18,NDCG@18,P@19,HR@19,R@19,NDCG@19,P@20,HR@20,R@20,NDCG@20,method
1.0,1.0,0.01694915254237288,1.0,1.0,1.0,0.03389830508474576,1.0,1.0,1.0,0.05084745762711865,1.0,1.0,1.0,0.06779661016949153,1.0,1.0,1.0,0.0847457627118644,1.0,0.8333333333333334,1.0,0.0847457627118644,0.892210845475489,0.8571428571428571,1.0,0.1016949152542373,0.9020870746500321,0.75,1.0,0.1016949152542373,0.8301054527851841,0.7777777777777778,1.0,0.11864406779661017,0.8421264707157319,0.8,1.0,0.13559322033898305,0.8521705090845474,0.8181818181818182,1.0,0.15254237288135594,0.8607212554033419,0.75,1.0,0.15254237288135594,0.8150484538222167,0.7692307692307693,1.0,0.1694915254237288,0.82411921017256,0.7142857142857143,1.0,0.1694915254237288,0.7865275431937417,0.7333333333333333,1.0,0.1864406779661017,0.7956326354386739,0.6875,1.0,0.1864406779661017,0.7637538273604108,0.7058823529411765,1.0,0.2033898305084746,0.772681729139736,0.7222222222222222,1.0,0.22033898305084745,0.7808128579853825,0.7368421052631579,1.0,0.23728813559322035,0.7882571733956204,0.7,1.0,0.23728813559322035,0.7627662834226012,rrf_llm_normal
1.0,1.0,0.045454545454545456,1.0,0.5,1.0,0.045454545454545456,0.6131471927654584,0.6666666666666666,1.0,0.09090909090909091,0.7039180890341347,0.5,1.0,0.09090909090909091,0.5855700749881525,0.4,1.0,0.09090909090909091,0.5087403079104241,0.5,1.0,0.13636363636363635,0.561692774772731,0.5714285714285714,1.0,0.18181818181818182,0.6018528690261676,0.5,1.0,0.18181818181818182,0.553828297059739,0.4444444444444444,1.0,0.18181818181818182,0.5146417545924166,0.4,1.0,0.18181818181818182,0.4818998405251556,0.36363636363636365,1.0,0.18181818181818182,0.4540258130771764,0.3333333333333333,1.0,0.18181818181818182,0.42993365694276614,0.3076923076923077,1.0,0.18181818181818182,0.40884800759549744,0.2857142857142857,1.0,0.18181818181818182,0.3901986690571261,0.26666666666666666,1.0,0.18181818181818182,0.373555796581829,0.3125,1.0,0.22727272727272727,0.39865569022997943,0.29411764705882354,1.0,0.22727272727272727,0.383590223533204,0.2777777777777778,1.0,0.22727272727272727,0.3698692783593948,0.2631578947368421,1.0,0.22727272727272727,0.3573073025821807,0.3,1.0,0.2727272727272727,0.37809088615017716,rrf_llm_normal
1.0,1.0,0.025,1.0,1.0,1.0,0.05,1.0,0.6666666666666666,1.0,0.05,0.7653606369886217,0.5,1.0,0.05,0.6366824387328317,0.6,1.0,0.075,0.6843515475204855,0.6666666666666666,1.0,0.1,0.7183750273402227,0.5714285714285714,1.0,0.1,0.652553596282728,0.5,1.0,0.1,0.6004833831800817,0.5555555555555556,1.0,0.125,0.6287514853238875,0.5,1.0,0.125,0.5887498202463202,0.5454545454545454,1.0,0.15,0.6125373334066241,0.5,1.0,0.15,0.58003401608515,0.5384615384615384,1.0,0.175,0.6006308112688034,0.5714285714285714,1.0,0.2,0.6188477795897341,0.5333333333333333,1.0,0.2,0.5924524956124204,0.5,1.0,0.2,0.5687145560635943,0.47058823529411764,1.0,0.2,0.5472224504337844,0.4444444444444444,1.0,0.2,0.5276484134024951,0.42105263157894735,1.0,0.2,0.5097277398676495,0.4,1.0,0.2,0.4932440158094345,rrf_llm_normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.029411764705882353,0.16812753627111746,0.4,1.0,0.058823529411764705,0.27727342735504823,0.5,1.0,0.08823529411764706,0.3551755135728451,0.5714285714285714,1.0,0.11764705882352941,0.41425784364032414,0.5,1.0,0.11764705882352941,0.38120233016116967,0.5555555555555556,1.0,0.14705882352941177,0.4249858300230482,0.5,1.0,0.14705882352941177,0.3979478965435962,0.5454545454545454,1.0,0.17647058823529413,0.4327717654176126,0.5,1.0,0.17647058823529413,0.40980742144707893,0.5384615384615384,1.0,0.20588235294117646,0.4387528030373922,0.5714285714285714,1.0,0.23529411764705882,0.4643537324424912,0.5333333333333333,1.0,0.23529411764705882,0.44454797561829973,0.5,1.0,0.23529411764705882,0.4267361627726607,0.47058823529411764,1.0,0.23529411764705882,0.4106095161296579,0.5,1.0,0.2647058823529412,0.43169189523896234,0.47368421052631576,1.0,0.2647058823529412,0.41703022029459946,0.5,1.0,0.29411764705882354,0.43588246676138465,rrf_llm_normal
1.0,1.0,0.05263157894736842,1.0,1.0,1.0,0.10526315789473684,1.0,0.6666666666666666,1.0,0.10526315789473684,0.7653606369886217,0.75,1.0,0.15789473684210525,0.8048099750039491,0.6,1.0,0.15789473684210525,0.6992148198508501,0.5,1.0,0.15789473684210525,0.6238470455881188,0.5714285714285714,1.0,0.21052631578947367,0.6583122271626569,0.5,1.0,0.21052631578947367,0.605782506766195,0.4444444444444444,1.0,0.21052631578947367,0.5629199046684298,0.5,1.0,0.2631578947368421,0.5907272848394973,0.45454545454545453,1.0,0.2631578947368421,0.5565584655804114,0.5,1.0,0.3157894736842105,0.5800889838373177,0.46153846153846156,1.0,0.3157894736842105,0.5516391225485202,0.42857142857142855,1.0,0.3157894736842105,0.5264764592695155,0.4,1.0,0.3157894736842105,0.5040210249800006,0.375,1.0,0.3157894736842105,0.48382629086896445,0.35294117647058826,1.0,0.3157894736842105,0.46554216988249164,0.3333333333333333,1.0,0.3157894736842105,0.44888982006445494,0.3157894736842105,1.0,0.3157894736842105,0.43364404709488036,0.35,1.0,0.3684210526315789,0.4670630517454783,rrf_llm_normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.04,0.16812753627111746,0.2,1.0,0.04,0.14606834984270645,0.16666666666666666,1.0,0.04,0.13032376591037062,0.2857142857142857,1.0,0.08,0.21000823726012652,0.25,1.0,0.08,0.1932507268736416,0.3333333333333333,1.0,0.12,0.2503328854048759,0.3,1.0,0.12,0.23440650992329987,0.2727272727272727,1.0,0.12,0.2208479798261188,0.3333333333333333,1.0,0.16,0.2621924399466704,0.38461538461538464,1.0,0.2,0.2983774448789997,0.35714285714285715,1.0,0.2,0.28476714990779833,0.3333333333333333,1.0,0.2,0.2726211746984994,0.3125,1.0,0.2,0.26169799518174613,0.29411764705882354,1.0,0.2,0.2518082519079224,0.2777777777777778,1.0,0.2,0.24280112136398596,0.2631578947368421,1.0,0.2,0.23455479763906403,0.25,1.0,0.2,0.22696969630277677,rrf_llm_normal
1.0,1.0,0.02564102564102564,1.0,1.0,1.0,0.05128205128205128,1.0,1.0,1.0,0.07692307692307693,1.0,0.75,1.0,0.07692307692307693,0.8318724637288826,0.8,1.0,0.10256410256410256,0.8539316501572937,0.8333333333333334,1.0,0.1282051282051282,0.8696762340896295,0.7142857142857143,1.0,0.1282051282051282,0.7899917627398735,0.75,1.0,0.15384615384615385,0.8067492731263585,0.6666666666666666,1.0,0.15384615384615385,0.7496671145951241,0.6,1.0,0.15384615384615385,0.7019727018777485,0.5454545454545454,1.0,0.15384615384615385,0.6613692305453045,0.5,1.0,0.15384615384615385,0.6262747264315399,0.46153846153846156,1.0,0.15384615384615385,0.595559733400999,0.5,1.0,0.1794871794871795,0.6140080156727236,0.4666666666666667,1.0,0.1794871794871795,0.5878191587800434,0.4375,1.0,0.1794871794871795,0.5642668642752519,0.47058823529411764,1.0,0.20512820512820512,0.5807335125780911,0.4444444444444444,1.0,0.20512820512820512,0.5599607915914003,0.42105263157894735,1.0,0.20512820512820512,0.5409426835415454,0.4,1.0,0.20512820512820512,0.5234495215466255,rrf_llm_normal
1.0,1.0,0.015384615384615385,1.0,0.5,1.0,0.015384615384615385,0.6131471927654584,0.3333333333333333,1.0,0.015384615384615385,0.46927872602275644,0.5,1.0,0.03076923076923077,0.5585075862632192,0.4,1.0,0.03076923076923077,0.48522855511632257,0.5,1.0,0.046153846153846156,0.540715333933695,0.42857142857142855,1.0,0.046153846153846156,0.49117205121962154,0.375,1.0,0.046153846153846156,0.4519792040377807,0.3333333333333333,1.0,0.046153846153846156,0.419999071625979,0.3,1.0,0.046153846153846156,0.3932783996463063,0.2727272727272727,1.0,0.046153846153846156,0.3705304093284588,0.25,1.0,0.046153846153846156,0.3508688037171259,0.3076923076923077,1.0,0.06153846153846154,0.38270476855533764,0.2857142857142857,1.0,0.06153846153846154,0.3652479370276202,0.3333333333333333,1.0,0.07692307692307693,0.3923215753437325,0.3125,1.0,0.07692307692307693,0.3766023304959529,0.29411764705882354,1.0,0.07692307692307693,0.3623702750981189,0.3333333333333333,1.0,0.09230769230769231,0.38517816216047635,0.3157894736842105,1.0,0.09230769230769231,0.37209624639706385,0.3,1.0,0.09230769230769231,0.3600632896458787,rrf_llm_normal
1.0,1.0,0.017543859649122806,1.0,0.5,1.0,0.017543859649122806,0.6131471927654584,0.6666666666666666,1.0,0.03508771929824561,0.7039180890341347,0.75,1.0,0.05263157894736842,0.75369761125927,0.6,1.0,0.05263157894736842,0.6548086577531307,0.5,1.0,0.05263157894736842,0.5842273861585908,0.5714285714285714,1.0,0.07017543859649122,0.6223227366315628,0.5,1.0,0.07017543859649122,0.5726647810251273,0.4444444444444444,1.0,0.07017543859649122,0.5321454488055233,0.5,1.0,0.08771929824561403,0.5619107241149828,0.5454545454545454,1.0,0.10526315789473684,0.5872506629856347,0.5,1.0,0.10526315789473684,0.5560891425275877,0.46153846153846156,1.0,0.10526315789473684,0.5288163285112591,0.5,1.0,0.12280701754385964,0.5503090682093823,0.4666666666666667,1.0,0.12280701754385964,0.5268371182246748,0.5,1.0,0.14035087719298245,0.5457954515383366,0.47058823529411764,1.0,0.14035087719298245,0.5251694742854878,0.4444444444444444,1.0,0.14035087719298245,0.5063842677772056,0.42105263157894735,1.0,0.14035087719298245,0.48918579448416677,0.4,1.0,0.14035087719298245,0.47336636183651565,rrf_llm_normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rrf_llm_normal
