P@1,HR@1,R@1,NDCG@1,P@2,HR@2,R@2,NDCG@2,P@3,HR@3,R@3,NDCG@3,P@4,HR@4,R@4,NDCG@4,P@5,HR@5,R@5,NDCG@5,P@6,HR@6,R@6,NDCG@6,P@7,HR@7,R@7,NDCG@7,P@8,HR@8,R@8,NDCG@8,P@9,HR@9,R@9,NDCG@9,P@10,HR@10,R@10,NDCG@10,P@11,HR@11,R@11,NDCG@11,P@12,HR@12,R@12,NDCG@12,P@13,HR@13,R@13,NDCG@13,P@14,HR@14,R@14,NDCG@14,P@15,HR@15,R@15,NDCG@15,P@16,HR@16,R@16,NDCG@16,P@17,HR@17,R@17,NDCG@17,P@18,HR@18,R@18,NDCG@18,P@19,HR@19,R@19,NDCG@19,P@20,HR@20,R@20,NDCG@20,rerank_failed,method
1.0,1.0,0.01694915254237288,1.0,1.0,1.0,0.03389830508474576,1.0,1.0,1.0,0.05084745762711865,1.0,0.75,1.0,0.05084745762711865,0.8318724637288826,0.8,1.0,0.06779661016949153,0.8539316501572937,0.6666666666666666,1.0,0.06779661016949153,0.7618870795651185,0.7142857142857143,1.0,0.0847457627118644,0.7837042816946693,0.75,1.0,0.1016949152542373,0.8009634987298765,0.6666666666666666,1.0,0.1016949152542373,0.7442907170674258,0.7,1.0,0.11864406779661017,0.7605591431973849,0.6363636363636364,1.0,0.11864406779661017,0.7165669177378523,0.5833333333333334,1.0,0.11864406779661017,0.6785434363285279,0.6153846153846154,1.0,0.13559322033898305,0.6943089393834723,0.6428571428571429,1.0,0.15254237288135594,0.7082528402260363,0.6,1.0,0.15254237288135594,0.6780442243723949,0.5625,1.0,0.15254237288135594,0.6508768600203472,0.5882352941176471,1.0,0.1694915254237288,0.664070458324194,0.6111111111111112,1.0,0.1864406779661017,0.6760865904902881,0.631578947368421,1.0,0.2033898305084746,0.6870877539884419,0.6,1.0,0.2033898305084746,0.6648685101555185,False,rrf_llm_working32
0.0,0.0,0.0,0.0,0.5,1.0,0.045454545454545456,0.38685280723454163,0.3333333333333333,1.0,0.045454545454545456,0.2960819109658652,0.25,1.0,0.045454545454545456,0.24630238874073,0.4,1.0,0.09090909090909091,0.34519134224686937,0.3333333333333333,1.0,0.09090909090909091,0.3079834593168982,0.2857142857142857,1.0,0.09090909090909091,0.2797643380184693,0.25,1.0,0.09090909090909091,0.25744067176005675,0.3333333333333333,1.0,0.13636363636363635,0.30998102191020854,0.3,1.0,0.13636363636363635,0.29025978496956456,0.36363636363636365,1.0,0.18181818181818182,0.33131254442500235,0.4166666666666667,1.0,0.22727272727272727,0.3667953784860163,0.38461538461538464,1.0,0.22727272727272727,0.34880628038201644,0.35714285714285715,1.0,0.22727272727272727,0.33289570655921286,0.4,1.0,0.2727272727272727,0.3613492420627713,0.375,1.0,0.2727272727272727,0.34687097329417843,0.35294117647058826,1.0,0.2727272727272727,0.33376248588433655,0.3333333333333333,1.0,0.2727272727272727,0.32182386886821013,0.3157894736842105,1.0,0.2727272727272727,0.3108936730347418,0.3,1.0,0.2727272727272727,0.30083990291997376,False,rrf_llm_working32
1.0,1.0,0.025,1.0,1.0,1.0,0.05,1.0,0.6666666666666666,1.0,0.05,0.7653606369886217,0.75,1.0,0.075,0.8048099750039491,0.8,1.0,0.1,0.830419897363192,0.8333333333333334,1.0,0.125,0.8486987932505933,0.7142857142857143,1.0,0.125,0.7709363892380909,0.625,1.0,0.125,0.7094198757978375,0.5555555555555556,1.0,0.125,0.659224332815107,0.6,1.0,0.15,0.6809047493604335,0.6363636363636364,1.0,0.175,0.6993618415336832,0.5833333333333334,1.0,0.175,0.6622513200712964,0.5384615384615384,1.0,0.175,0.6297718923984634,0.5714285714285714,1.0,0.2,0.6466596090726578,0.5333333333333333,1.0,0.2,0.6190780864735993,0.5,1.0,0.2,0.5942733328409519,0.5294117647058824,1.0,0.225,0.6096060165122977,0.5555555555555556,1.0,0.25,0.6235703308117628,0.5263157894736842,1.0,0.25,0.6023918338417189,0.55,1.0,0.275,0.6152498024818949,False,rrf_llm_working32
0.0,0.0,0.0,0.0,0.5,1.0,0.029411764705882353,0.38685280723454163,0.3333333333333333,1.0,0.029411764705882353,0.2960819109658652,0.25,1.0,0.029411764705882353,0.24630238874073,0.4,1.0,0.058823529411764705,0.34519134224686937,0.3333333333333333,1.0,0.058823529411764705,0.3079834593168982,0.42857142857142855,1.0,0.08823529411764706,0.3713897823232329,0.5,1.0,0.11764705882352941,0.42154944457839066,0.4444444444444444,1.0,0.11764705882352941,0.3917223929456976,0.5,1.0,0.14705882352941177,0.43042149375026456,0.5454545454545454,1.0,0.17647058823529413,0.46336702637314864,0.5833333333333334,1.0,0.20588235294117646,0.49184259982098105,0.6153846153846154,1.0,0.23529411764705882,0.5167646513523428,0.6428571428571429,1.0,0.2647058823529412,0.5388071205419062,0.6,1.0,0.2647058823529412,0.515825755132256,0.5625,1.0,0.2647058823529412,0.49515803800094454,0.5294117647058824,1.0,0.2647058823529412,0.47644568266784887,0.5555555555555556,1.0,0.29411764705882354,0.4951731153366425,0.5263157894736842,1.0,0.29411764705882354,0.4783554096110472,0.55,1.0,0.3235294117647059,0.49522450425099124,False,rrf_llm_working32
0.0,0.0,0.0,0.0,0.5,1.0,0.05263157894736842,0.38685280723454163,0.3333333333333333,1.0,0.05263157894736842,0.2960819109658652,0.5,1.0,0.10526315789473684,0.4144299250118475,0.6,1.0,0.15789473684210525,0.4912596920895758,0.6666666666666666,1.0,0.21052631578947367,0.5460963797517797,0.5714285714285714,1.0,0.21052631578947367,0.4960600563238,0.5,1.0,0.21052631578947367,0.4564771730301803,0.4444444444444444,1.0,0.21052631578947367,0.42417878340062154,0.4,1.0,0.21052631578947367,0.3971921948634016,0.36363636363636365,1.0,0.21052631578947367,0.37421782299044054,0.3333333333333333,1.0,0.21052631578947367,0.35436055065021727,0.3076923076923077,1.0,0.21052631578947367,0.33698130575311397,0.2857142857142857,1.0,0.21052631578947367,0.32161012053185706,0.3333333333333333,1.0,0.2631578947368421,0.3505450122879012,0.3125,1.0,0.2631578947368421,0.3364996392454077,0.29411764705882354,1.0,0.2631578947368421,0.32378309152573487,0.2777777777777778,1.0,0.2631578947368421,0.31220143543942824,0.2631578947368421,1.0,0.2631578947368421,0.30159804905654847,0.3,1.0,0.3157894736842105,0.33501705370714635,False,rrf_llm_working32
1.0,1.0,0.04,1.0,1.0,1.0,0.08,1.0,1.0,1.0,0.12,1.0,0.75,1.0,0.12,0.8318724637288826,0.6,1.0,0.12,0.7227265726449519,0.5,1.0,0.12,0.644824486427155,0.5714285714285714,1.0,0.16,0.6773676006644395,0.5,1.0,0.16,0.6233173655322678,0.4444444444444444,1.0,0.16,0.5792140711633723,0.4,1.0,0.16,0.5423640154200349,0.36363636363636365,1.0,0.16,0.5109926220696254,0.3333333333333333,1.0,0.16,0.48387761301100946,0.38461538461538464,1.0,0.2,0.5091902990419471,0.35714285714285715,1.0,0.2,0.48596391150703966,0.3333333333333333,1.0,0.2,0.4652364307435824,0.3125,1.0,0.2,0.4465956884888185,0.29411764705882354,1.0,0.2,0.4297185370101317,0.2777777777777778,1.0,0.2,0.41434759133748966,0.3157894736842105,1.0,0.24,0.43423827110445573,0.3,1.0,0.24,0.42019574746573685,False,rrf_llm_working32
1.0,1.0,0.02564102564102564,1.0,0.5,1.0,0.02564102564102564,0.6131471927654584,0.6666666666666666,1.0,0.05128205128205128,0.7039180890341347,0.75,1.0,0.07692307692307693,0.75369761125927,0.8,1.0,0.10256410256410256,0.7860137352654724,0.6666666666666666,1.0,0.10256410256410256,0.7012899792965542,0.5714285714285714,1.0,0.10256410256410256,0.6370339733570289,0.625,1.0,0.1282051282051282,0.6659966799668502,0.5555555555555556,1.0,0.1282051282051282,0.6188735782380815,0.6,1.0,0.15384615384615385,0.6431211415940209,0.5454545454545454,1.0,0.15384615384615385,0.6059217593870627,0.5,1.0,0.15384615384615385,0.5737694869568865,0.46153846153846156,1.0,0.15384615384615385,0.5456295588243334,0.42857142857142855,1.0,0.15384615384615385,0.5207410179240076,0.4,1.0,0.15384615384615385,0.4985302134256027,0.4375,1.0,0.1794871794871795,0.5186227264412846,0.4117647058823529,1.0,0.1794871794871795,0.49902362474807993,0.4444444444444444,1.0,0.20512820512820512,0.5169434489680271,0.47368421052631576,1.0,0.23076923076923078,0.5333496363648402,0.5,1.0,0.2564102564102564,0.5484403116885433,False,rrf_llm_working32
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.015384615384615385,0.23463936301137822,0.25,1.0,0.015384615384615385,0.19519002499605084,0.2,1.0,0.015384615384615385,0.16958010263680806,0.3333333333333333,1.0,0.03076923076923077,0.25909036127391766,0.2857142857142857,1.0,0.03076923076923077,0.23535109180711322,0.375,1.0,0.046153846153846156,0.2963658985986444,0.4444444444444444,1.0,0.06153846153846154,0.34615206471259125,0.4,1.0,0.06153846153846154,0.3241295975188817,0.36363636363636365,1.0,0.06153846153846154,0.30538130889505066,0.3333333333333333,1.0,0.06153846153846154,0.2891767364621183,0.3076923076923077,1.0,0.06153846153846154,0.274994363982172,0.2857142857142857,1.0,0.06153846153846154,0.2624506731856606,0.26666666666666666,1.0,0.06153846153846154,0.25125654713843587,0.25,1.0,0.06153846153846154,0.24118938939770657,0.23529411764705882,1.0,0.06153846153846154,0.23207468013194754,0.2777777777777778,1.0,0.07692307692307693,0.2595432144299218,0.3157894736842105,1.0,0.09230769230769231,0.28469155939564506,0.3,1.0,0.09230769230769231,0.2754851208604395,False,rrf_llm_working32
1.0,1.0,0.017543859649122806,1.0,1.0,1.0,0.03508771929824561,1.0,0.6666666666666666,1.0,0.03508771929824561,0.7653606369886217,0.75,1.0,0.05263157894736842,0.8048099750039491,0.6,1.0,0.05263157894736842,0.6992148198508501,0.5,1.0,0.05263157894736842,0.6238470455881188,0.42857142857142855,1.0,0.05263157894736842,0.5666867828578932,0.375,1.0,0.05263157894736842,0.5214682725103094,0.3333333333333333,1.0,0.05263157894736842,0.4845713881969346,0.4,1.0,0.07017543859649122,0.5173633627401372,0.36363636363636365,1.0,0.07017543859649122,0.4874380559421893,0.3333333333333333,1.0,0.07017543859649122,0.46157293239332964,0.38461538461538464,1.0,0.08771929824561403,0.4879795283024834,0.42857142857142855,1.0,0.10526315789473684,0.5113350123402362,0.4,1.0,0.10526315789473684,0.489525395656774,0.4375,1.0,0.12280701754385964,0.5099787069160748,0.47058823529411764,1.0,0.14035087719298245,0.5284969412034317,0.5,1.0,0.15789473684210525,0.5453625108194703,0.5263157894736842,1.0,0.17543859649122806,0.5608034935143072,0.55,1.0,0.19298245614035087,0.5750063580123665,False,rrf_llm_working32
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0,0.038461538461538464,0.07979453856244817,0.1111111111111111,1.0,0.038461538461538464,0.07414861528507455,0.1,1.0,0.038461538461538464,0.06943122193677727,0.09090909090909091,1.0,0.038461538461538464,0.06541518452970234,0.08333333333333333,1.0,0.038461538461538464,0.06194403202282284,0.07692307692307693,1.0,0.038461538461538464,0.05890605135464942,0.07142857142857142,1.0,0.038461538461538464,0.05621908976192367,0.06666666666666667,1.0,0.038461538461538464,0.05382121602276955,0.0625,1.0,0.038461538461538464,0.05166474815090726,0.058823529411764705,1.0,0.038461538461538464,0.049712302565054066,0.05555555555555555,1.0,0.038461538461538464,0.047934103497110726,0.05263157894736842,1.0,0.038461538461538464,0.04630610387058298,0.05,1.0,0.038461538461538464,0.044808643601671735,False,rrf_llm_working32
