P@1,HR@1,R@1,NDCG@1,P@2,HR@2,R@2,NDCG@2,P@3,HR@3,R@3,NDCG@3,P@4,HR@4,R@4,NDCG@4,P@5,HR@5,R@5,NDCG@5,P@6,HR@6,R@6,NDCG@6,P@7,HR@7,R@7,NDCG@7,P@8,HR@8,R@8,NDCG@8,P@9,HR@9,R@9,NDCG@9,P@10,HR@10,R@10,NDCG@10,P@11,HR@11,R@11,NDCG@11,P@12,HR@12,R@12,NDCG@12,P@13,HR@13,R@13,NDCG@13,P@14,HR@14,R@14,NDCG@14,P@15,HR@15,R@15,NDCG@15,P@16,HR@16,R@16,NDCG@16,P@17,HR@17,R@17,NDCG@17,P@18,HR@18,R@18,NDCG@18,P@19,HR@19,R@19,NDCG@19,P@20,HR@20,R@20,NDCG@20,method
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.05,0.16812753627111746,0.2,1.0,0.05,0.14606834984270645,0.16666666666666666,1.0,0.05,0.13032376591037062,0.14285714285714285,1.0,0.05,0.11838279295536291,0.125,1.0,0.05,0.10893649261775588,0.1111111111111111,1.0,0.05,0.10122860821230018,0.1,1.0,0.05,0.09478836436955078,0.09090909090909091,1.0,0.05,0.08930562034683721,0.08333333333333333,1.0,0.05,0.0845667599404342,0.07692307692307693,1.0,0.05,0.08041927109478651,0.14285714285714285,1.0,0.1,0.12236535376637665,0.13333333333333333,1.0,0.1,0.11714618942876004,0.125,1.0,0.1,0.11245246430543061,0.11764705882352941,1.0,0.1,0.10820281003613758,0.1111111111111111,1.0,0.1,0.10433241727564685,0.10526315789473684,1.0,0.1,0.10078894563504909,0.1,1.0,0.1,0.0975296033665707,bm25_llm
1.0,1.0,0.020833333333333332,1.0,1.0,1.0,0.041666666666666664,1.0,1.0,1.0,0.0625,1.0,1.0,1.0,0.08333333333333333,1.0,0.8,1.0,0.08333333333333333,0.8687949224876582,0.8333333333333334,1.0,0.10416666666666667,0.8829374068620365,0.8571428571428571,1.0,0.125,0.8936633189697701,0.75,1.0,0.125,0.8223538668023914,0.7777777777777778,1.0,0.14583333333333334,0.8349233540959466,0.8,1.0,0.16666666666666666,0.8454256604216017,0.7272727272727273,1.0,0.16666666666666666,0.7965245899457597,0.75,1.0,0.1875,0.807321688276613,0.6923076923076923,1.0,0.1875,0.7677274351760428,0.7142857142857143,1.0,0.20833333333333334,0.7783223986199236,0.7333333333333333,1.0,0.22916666666666666,0.7877774591902563,0.75,1.0,0.25,0.7962806318191984,0.7647058823529411,1.0,0.2708333333333333,0.8039793237782809,0.7222222222222222,1.0,0.2708333333333333,0.7752211450092042,0.6842105263157895,1.0,0.2708333333333333,0.7488920881900344,0.65,1.0,0.2708333333333333,0.7246741978034719,bm25_llm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0.027777777777777776,0.09162544430476362,0.125,1.0,0.027777777777777776,0.0843142342558857,0.1111111111111111,1.0,0.027777777777777776,0.07834851647149511,0.1,1.0,0.027777777777777776,0.07336392209936005,0.09090909090909091,1.0,0.027777777777777776,0.06912040963822193,0.08333333333333333,1.0,0.027777777777777776,0.06545264526642976,0.07692307692307693,1.0,0.027777777777777776,0.062242588308449316,0.07142857142857142,1.0,0.027777777777777776,0.05940343273155045,0.06666666666666667,1.0,0.027777777777777776,0.056869739426201577,0.0625,1.0,0.027777777777777776,0.05459112561892713,0.058823529411764705,1.0,0.027777777777777776,0.05252809026007655,0.05555555555555555,1.0,0.027777777777777776,0.050649171032404884,0.05263157894736842,1.0,0.027777777777777776,0.0489289587929152,0.05,1.0,0.027777777777777776,0.04734667987788577,bm25_llm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bm25_llm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,1.0,0.024390243902439025,0.049043960636177025,0.07142857142857142,1.0,0.024390243902439025,0.046806851959664796,0.06666666666666667,1.0,0.024390243902439025,0.0448104318539346,0.0625,1.0,0.024390243902439025,0.04301500128290471,0.058823529411764705,1.0,0.024390243902439025,0.041389435449602524,0.1111111111111111,1.0,0.04878048780487805,0.07567874261201965,0.10526315789473684,1.0,0.04878048780487805,0.07310844389524311,0.1,1.0,0.04878048780487805,0.07074424175115814,bm25_llm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bm25_llm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bm25_llm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.043478260869565216,0.23463936301137822,0.25,1.0,0.043478260869565216,0.19519002499605084,0.4,1.0,0.08695652173913043,0.30078518014914984,0.3333333333333333,1.0,0.08695652173913043,0.26836379988737025,0.2857142857142857,1.0,0.08695652173913043,0.24377484748737527,0.25,1.0,0.08695652173913043,0.22432294601898897,0.2222222222222222,1.0,0.08695652173913043,0.2084508053262215,0.2,1.0,0.08695652173913043,0.19518900079066107,0.18181818181818182,1.0,0.08695652173913043,0.18389888797457576,0.16666666666666666,1.0,0.08695652173913043,0.1741405865863796,0.15384615384615385,1.0,0.08695652173913043,0.16560004251267643,0.14285714285714285,1.0,0.08695652173913043,0.15804630323203134,0.13333333333333333,1.0,0.08695652173913043,0.15130526417047127,0.125,1.0,0.08695652173913043,0.14524287901571709,0.11764705882352941,1.0,0.08695652173913043,0.13975405291745482,0.1111111111111111,1.0,0.08695652173913043,0.1347550785425721,0.10526315789473684,1.0,0.08695652173913043,0.13017835338168016,0.1,1.0,0.08695652173913043,0.12596860788881453,bm25_llm
1.0,1.0,0.043478260869565216,1.0,0.5,1.0,0.043478260869565216,0.6131471927654584,0.6666666666666666,1.0,0.08695652173913043,0.7039180890341347,0.75,1.0,0.13043478260869565,0.75369761125927,0.6,1.0,0.13043478260869565,0.6548086577531307,0.5,1.0,0.13043478260869565,0.5842273861585908,0.42857142857142855,1.0,0.13043478260869565,0.5306972923267992,0.5,1.0,0.17391304347826086,0.5681450853316897,0.4444444444444444,1.0,0.17391304347826086,0.5279455476191027,0.4,1.0,0.17391304347826086,0.49435723575344825,0.36363636363636365,1.0,0.17391304347826086,0.46576264824853825,0.3333333333333333,1.0,0.17391304347826086,0.44104769566219093,0.3076923076923077,1.0,0.17391304347826086,0.41941696983745785,0.2857142857142857,1.0,0.17391304347826086,0.4002855348936062,0.26666666666666666,1.0,0.17391304347826086,0.3832124343444983,0.25,1.0,0.17391304347826086,0.36785816768481466,0.23529411764705882,1.0,0.17391304347826086,0.3539565600815334,0.2222222222222222,1.0,0.17391304347826086,0.3412956050914529,0.2631578947368421,1.0,0.21739130434782608,0.3636673702996608,0.25,1.0,0.21739130434782608,0.3519069889977665,bm25_llm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bm25_llm
