P@1,HR@1,R@1,NDCG@1,P@2,HR@2,R@2,NDCG@2,P@3,HR@3,R@3,NDCG@3,P@4,HR@4,R@4,NDCG@4,P@5,HR@5,R@5,NDCG@5,P@6,HR@6,R@6,NDCG@6,P@7,HR@7,R@7,NDCG@7,P@8,HR@8,R@8,NDCG@8,P@9,HR@9,R@9,NDCG@9,P@10,HR@10,R@10,NDCG@10,P@11,HR@11,R@11,NDCG@11,P@12,HR@12,R@12,NDCG@12,P@13,HR@13,R@13,NDCG@13,P@14,HR@14,R@14,NDCG@14,P@15,HR@15,R@15,NDCG@15,P@16,HR@16,R@16,NDCG@16,P@17,HR@17,R@17,NDCG@17,P@18,HR@18,R@18,NDCG@18,P@19,HR@19,R@19,NDCG@19,P@20,HR@20,R@20,NDCG@20,method
0.0,0.0,0.0,0.0,0.5,1.0,0.05,0.38685280723454163,0.3333333333333333,1.0,0.05,0.2960819109658652,0.25,1.0,0.05,0.24630238874073,0.2,1.0,0.05,0.21398626473452756,0.16666666666666666,1.0,0.05,0.19092086617893467,0.14285714285714285,1.0,0.05,0.17342765698823945,0.25,1.0,0.1,0.2393836156873445,0.2222222222222222,1.0,0.1,0.22244584585522365,0.2,1.0,0.1,0.2082936658103318,0.18181818181818182,1.0,0.1,0.19624555358910703,0.25,1.0,0.15,0.23889550224602657,0.23076923076923078,1.0,0.15,0.2271791206377127,0.21428571428571427,1.0,0.15,0.2168164913698359,0.2,1.0,0.15,0.2075687683442065,0.1875,1.0,0.15,0.1992520595588283,0.17647058823529413,1.0,0.15,0.19172219019758646,0.2222222222222222,1.0,0.2,0.22063412494752277,0.2631578947368421,1.0,0.25,0.24710395041511246,0.3,1.0,0.3,0.2714513220710084,rrf_llm_working2
0.0,0.0,0.0,0.0,0.5,1.0,0.020833333333333332,0.38685280723454163,0.6666666666666666,1.0,0.041666666666666664,0.5307212739772434,0.75,1.0,0.0625,0.6096199500078984,0.8,1.0,0.08333333333333333,0.6608397947263839,0.8333333333333334,1.0,0.10416666666666667,0.6973975865011866,0.8571428571428571,1.0,0.125,0.7251236670857092,0.875,1.0,0.14583333333333334,0.7470572972323429,0.8888888888888888,1.0,0.16666666666666666,0.7649544505855146,0.8,1.0,0.16666666666666666,0.7162874455029682,0.7272727272727273,1.0,0.16666666666666666,0.6748559814567575,0.75,1.0,0.1875,0.692109230578921,0.7692307692307693,1.0,0.20833333333333334,0.7072094133546507,0.7857142857142857,1.0,0.22916666666666666,0.7205648673858706,0.7333333333333333,1.0,0.22916666666666666,0.6898311151999381,0.6875,1.0,0.22916666666666666,0.6621914826002165,0.7058823529411765,1.0,0.25,0.6749574937057838,0.6666666666666666,1.0,0.25,0.6508143998581716,0.631578947368421,1.0,0.25,0.6287106048018638,0.6,1.0,0.25,0.6083791782157449,rrf_llm_working2
1.0,1.0,0.027777777777777776,1.0,0.5,1.0,0.027777777777777776,0.6131471927654584,0.6666666666666666,1.0,0.05555555555555555,0.7039180890341347,0.5,1.0,0.05555555555555555,0.5855700749881525,0.4,1.0,0.05555555555555555,0.5087403079104241,0.3333333333333333,1.0,0.05555555555555555,0.4539036202482202,0.2857142857142857,1.0,0.05555555555555555,0.41231449937143627,0.25,1.0,0.05555555555555555,0.37941405415148566,0.2222222222222222,1.0,0.05555555555555555,0.35256832412172806,0.2,1.0,0.05555555555555555,0.33013764944712026,0.18181818181818182,1.0,0.05555555555555555,0.3110418433719987,0.16666666666666666,1.0,0.05555555555555555,0.2945369036989339,0.23076923076923078,1.0,0.08333333333333333,0.32913560802419894,0.21428571428571427,1.0,0.08333333333333333,0.3141222992516418,0.2,1.0,0.08333333333333333,0.3007242592718417,0.1875,1.0,0.08333333333333333,0.2886750665680768,0.17647058823529413,1.0,0.08333333333333333,0.277765841619947,0.16666666666666666,1.0,0.08333333333333333,0.26783021331086326,0.15789473684210525,1.0,0.08333333333333333,0.25873381939855794,0.15,1.0,0.08333333333333333,0.2503668098169306,rrf_llm_working2
0.0,0.0,0.0,0.0,0.5,1.0,0.034482758620689655,0.38685280723454163,0.3333333333333333,1.0,0.034482758620689655,0.2960819109658652,0.25,1.0,0.034482758620689655,0.24630238874073,0.2,1.0,0.034482758620689655,0.21398626473452756,0.16666666666666666,1.0,0.034482758620689655,0.19092086617893467,0.2857142857142857,1.0,0.06896551724137931,0.265053101293003,0.375,1.0,0.10344827586206896,0.3236978499432302,0.4444444444444444,1.0,0.13793103448275862,0.3715501230477994,0.4,1.0,0.13793103448275862,0.3479118113640809,0.36363636363636365,1.0,0.13793103448275862,0.32778791306838867,0.3333333333333333,1.0,0.13793103448275862,0.31039436989714664,0.38461538461538464,1.0,0.1724137931034483,0.344215361274397,0.35714285714285715,1.0,0.1724137931034483,0.32851419926979897,0.3333333333333333,1.0,0.1724137931034483,0.3145023115870884,0.3125,1.0,0.1724137931034483,0.3019010702796261,0.35294117647058826,1.0,0.20689655172413793,0.32828269842267266,0.3333333333333333,1.0,0.20689655172413793,0.31654009230232216,0.3157894736842105,1.0,0.20689655172413793,0.3057893508791452,0.35,1.0,0.2413793103448276,0.32823893696867956,rrf_llm_working2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0.024390243902439025,0.09162544430476362,0.125,1.0,0.024390243902439025,0.0843142342558857,0.1111111111111111,1.0,0.024390243902439025,0.07834851647149511,0.1,1.0,0.024390243902439025,0.07336392209936005,0.09090909090909091,1.0,0.024390243902439025,0.06912040963822193,0.08333333333333333,1.0,0.024390243902439025,0.06545264526642976,0.07692307692307693,1.0,0.024390243902439025,0.062242588308449316,0.07142857142857142,1.0,0.024390243902439025,0.05940343273155045,0.06666666666666667,1.0,0.024390243902439025,0.056869739426201577,0.0625,1.0,0.024390243902439025,0.05459112561892713,0.058823529411764705,1.0,0.024390243902439025,0.05252809026007655,0.05555555555555555,1.0,0.024390243902439025,0.050649171032404884,0.05263157894736842,1.0,0.024390243902439025,0.0489289587929152,0.05,1.0,0.024390243902439025,0.04734667987788577,rrf_llm_working2
0.0,0.0,0.0,0.0,0.5,1.0,0.05,0.38685280723454163,0.6666666666666666,1.0,0.1,0.5307212739772434,0.5,1.0,0.1,0.44149241373678083,0.4,1.0,0.1,0.38356636737133565,0.3333333333333333,1.0,0.1,0.3422220729283414,0.2857142857142857,1.0,0.1,0.3108658234453849,0.25,1.0,0.1,0.2860604285087249,0.2222222222222222,1.0,0.1,0.26582000527739175,0.2,1.0,0.1,0.2489083270225946,0.18181818181818182,1.0,0.1,0.2345109835167376,0.16666666666666666,1.0,0.1,0.22206703194529032,0.15384615384615385,1.0,0.1,0.2111759851719728,0.14285714285714285,1.0,0.1,0.20154332862117302,0.13333333333333333,1.0,0.1,0.19294704118484146,0.125,1.0,0.1,0.18521618473020524,0.11764705882352941,1.0,0.1,0.17821674052022296,0.16666666666666666,1.0,0.15,0.20761176248980712,0.15789473684210525,1.0,0.15,0.20056058499534232,0.2,1.0,0.2,0.22641308955320544,rrf_llm_working2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.047619047619047616,0.06362078819895171,0.09090909090909091,1.0,0.047619047619047616,0.05994083762128166,0.08333333333333333,1.0,0.047619047619047616,0.056760172607960534,0.07692307692307693,1.0,0.047619047619047616,0.05397642893687311,0.07142857142857142,1.0,0.047619047619047616,0.051514328895695904,0.06666666666666667,1.0,0.047619047619047616,0.0493171240499355,0.125,1.0,0.09523809523809523,0.0874083681691436,0.11764705882352941,1.0,0.09523809523809523,0.08410514713920661,0.1111111111111111,1.0,0.09523809523809523,0.08109672293563117,0.10526315789473684,1.0,0.09523809523809523,0.07834241180806852,0.1,1.0,0.09523809523809523,0.07580895208575764,rrf_llm_working2
0.0,0.0,0.0,0.0,0.5,1.0,0.043478260869565216,0.38685280723454163,0.6666666666666666,1.0,0.08695652173913043,0.5307212739772434,0.5,1.0,0.08695652173913043,0.44149241373678083,0.4,1.0,0.08695652173913043,0.38356636737133565,0.5,1.0,0.13043478260869565,0.4500112274528523,0.42857142857142855,1.0,0.13043478260869565,0.40877874879535264,0.375,1.0,0.13043478260869565,0.37616043716109254,0.3333333333333333,1.0,0.13043478260869565,0.3495449192765852,0.3,1.0,0.13043478260869565,0.32730659600126993,0.2727272727272727,1.0,0.13043478260869565,0.3083745435836934,0.25,1.0,0.13043478260869565,0.29201113992269273,0.23076923076923078,1.0,0.13043478260869565,0.277689757070999,0.21428571428571427,1.0,0.13043478260869565,0.2650231176547716,0.2,1.0,0.13043478260869565,0.2537192709225618,0.1875,1.0,0.13043478260869565,0.24355343862354137,0.17647058823529413,1.0,0.13043478260869565,0.23434939034731744,0.2222222222222222,1.0,0.17391304347826086,0.26173655871822527,0.21052631578947367,1.0,0.17391304347826086,0.25284712533458825,0.2,1.0,0.17391304347826086,0.24467048137950265,rrf_llm_working2
1.0,1.0,0.043478260869565216,1.0,1.0,1.0,0.08695652173913043,1.0,1.0,1.0,0.13043478260869565,1.0,1.0,1.0,0.17391304347826086,1.0,1.0,1.0,0.21739130434782608,1.0,1.0,1.0,0.2608695652173913,1.0,1.0,1.0,0.30434782608695654,1.0,1.0,1.0,0.34782608695652173,1.0,1.0,1.0,0.391304347826087,1.0,1.0,1.0,0.43478260869565216,1.0,1.0,1.0,0.4782608695652174,1.0,0.9166666666666666,1.0,0.4782608695652174,0.9469365938224419,0.9230769230769231,1.0,0.5217391304347826,0.9495390334262356,0.8571428571428571,1.0,0.5217391304347826,0.906226421989264,0.8666666666666667,1.0,0.5652173913043478,0.9102260811991638,0.875,1.0,0.6086956521739131,0.9138230748371982,0.8235294117647058,1.0,0.6086956521739131,0.8792890861394259,0.7777777777777778,1.0,0.6086956521739131,0.8478370923119464,0.7894736842105263,1.0,0.6521739130434783,0.8530050445383285,0.75,1.0,0.6521739130434783,0.8254203190570626,rrf_llm_working2
1.0,1.0,0.06666666666666667,1.0,0.5,1.0,0.06666666666666667,0.6131471927654584,0.3333333333333333,1.0,0.06666666666666667,0.46927872602275644,0.25,1.0,0.06666666666666667,0.3903800499921017,0.4,1.0,0.13333333333333333,0.4703652827859579,0.3333333333333333,1.0,0.13333333333333333,0.41966500663677697,0.2857142857142857,1.0,0.13333333333333333,0.38121301394452073,0.25,1.0,0.13333333333333333,0.35079429740281753,0.3333333333333333,1.0,0.2,0.3967293407545448,0.3,1.0,0.2,0.3714891073940902,0.2727272727272727,1.0,0.2,0.35000145227296836,0.25,1.0,0.2,0.3314291830482726,0.23076923076923078,1.0,0.2,0.3151745832411728,0.2857142857142857,1.0,0.26666666666666666,0.34641245354884087,0.26666666666666666,1.0,0.26666666666666666,0.3316371640733556,0.25,1.0,0.26666666666666666,0.3316371640733556,0.23529411764705882,1.0,0.26666666666666666,0.3316371640733556,0.2222222222222222,1.0,0.26666666666666666,0.3316371640733556,0.21052631578947367,1.0,0.26666666666666666,0.3316371640733556,0.2,1.0,0.26666666666666666,0.3316371640733556,rrf_llm_working2
