P@1,HR@1,R@1,NDCG@1,P@2,HR@2,R@2,NDCG@2,P@3,HR@3,R@3,NDCG@3,P@4,HR@4,R@4,NDCG@4,P@5,HR@5,R@5,NDCG@5,P@6,HR@6,R@6,NDCG@6,P@7,HR@7,R@7,NDCG@7,P@8,HR@8,R@8,NDCG@8,P@9,HR@9,R@9,NDCG@9,P@10,HR@10,R@10,NDCG@10,P@11,HR@11,R@11,NDCG@11,P@12,HR@12,R@12,NDCG@12,P@13,HR@13,R@13,NDCG@13,P@14,HR@14,R@14,NDCG@14,P@15,HR@15,R@15,NDCG@15,P@16,HR@16,R@16,NDCG@16,P@17,HR@17,R@17,NDCG@17,P@18,HR@18,R@18,NDCG@18,P@19,HR@19,R@19,NDCG@19,P@20,HR@20,R@20,NDCG@20,method
1.0,1.0,0.0169491525423728,1.0,1.0,1.0,0.0338983050847457,1.0,0.6666666666666666,1.0,0.0338983050847457,0.7653606369886217,0.5,1.0,0.0338983050847457,0.6366824387328317,0.6,1.0,0.0508474576271186,0.6843515475204855,0.6666666666666666,1.0,0.0677966101694915,0.7183750273402227,0.5714285714285714,1.0,0.0677966101694915,0.652553596282728,0.625,1.0,0.0847457627118644,0.6802779217425299,0.5555555555555556,1.0,0.0847457627118644,0.6321443398878814,0.6,1.0,0.1016949152542373,0.6555476069276601,0.6363636363636364,1.0,0.1186440677966101,0.6754714057165484,0.6666666666666666,1.0,0.135593220338983,0.6926919983312432,0.6153846153846154,1.0,0.135593220338983,0.6587196392320908,0.5714285714285714,1.0,0.135593220338983,0.6286725671522698,0.5333333333333333,1.0,0.135593220338983,0.6018582333435067,0.5625,1.0,0.1525423728813559,0.6178106772250791,0.5294117647058824,1.0,0.1525423728813559,0.5944631961511798,0.5555555555555556,1.0,0.1694915254237288,0.6089691660904523,0.5263157894736842,1.0,0.1694915254237288,0.5882865726416788,0.5,1.0,0.1694915254237288,0.5692623901769451,bm25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bm25
1.0,1.0,0.025,1.0,1.0,1.0,0.05,1.0,0.6666666666666666,1.0,0.05,0.7653606369886217,0.5,1.0,0.05,0.6366824387328317,0.4,1.0,0.05,0.5531464700081437,0.5,1.0,0.075,0.601312434202259,0.4285714285714285,1.0,0.075,0.546216915252498,0.5,1.0,0.1,0.5824263271073693,0.4444444444444444,1.0,0.1,0.5412163092689025,0.4,1.0,0.1,0.5067837010870873,0.4545454545454545,1.0,0.125,0.5353122945780237,0.4166666666666667,1.0,0.125,0.5069068008589894,0.3846153846153846,1.0,0.125,0.4820460836714507,0.3571428571428571,1.0,0.125,0.4600578620378032,0.3333333333333333,1.0,0.125,0.4404353339865043,0.3125,1.0,0.125,0.4227883033625025,0.2941176470588235,1.0,0.125,0.4068108489822089,0.2777777777777778,1.0,0.125,0.3922593067046657,0.2631578947368421,1.0,0.125,0.378936892009756,0.25,1.0,0.125,0.3666827204691051,bm25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bm25
1.0,1.0,0.0526315789473684,1.0,0.5,1.0,0.0526315789473684,0.6131471927654584,0.6666666666666666,1.0,0.1052631578947368,0.7039180890341347,0.5,1.0,0.1052631578947368,0.5855700749881525,0.4,1.0,0.1052631578947368,0.5087403079104241,0.3333333333333333,1.0,0.1052631578947368,0.4539036202482202,0.2857142857142857,1.0,0.1052631578947368,0.4123144993714362,0.25,1.0,0.1052631578947368,0.3794140541514856,0.2222222222222222,1.0,0.1052631578947368,0.352568324121728,0.2,1.0,0.1052631578947368,0.3301376494471202,0.1818181818181818,1.0,0.1052631578947368,0.3110418433719987,0.1666666666666666,1.0,0.1052631578947368,0.2945369036989339,0.1538461538461538,1.0,0.1052631578947368,0.2800916473880219,0.2142857142857142,1.0,0.1578947368421052,0.3129298032186482,0.2,1.0,0.1578947368421052,0.2995826259428454,0.1875,1.0,0.1578947368421052,0.2875791753418674,0.1764705882352941,1.0,0.1578947368421052,0.2767113648603472,0.1666666666666666,1.0,0.1578947368421052,0.2668134549729486,0.1578947368421052,1.0,0.1578947368421052,0.2577515935140247,0.2,1.0,0.2105263157894736,0.2911705981646226,bm25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,1.0,0.04,0.0456143559266711,0.0666666666666666,1.0,0.04,0.0436687985249383,0.0625,1.0,0.04,0.0419191100566953,0.0588235294117647,1.0,0.04,0.0403349586900027,0.0555555555555555,1.0,0.04,0.0388921853271266,0.0526315789473684,1.0,0.04,0.0375712789459062,0.05,1.0,0.04,0.0363562879885388,bm25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0256410256410256,0.2346393630113782,0.25,1.0,0.0256410256410256,0.1951900249960508,0.2,1.0,0.0256410256410256,0.169580102636808,0.1666666666666666,1.0,0.0256410256410256,0.1513012067494067,0.1428571428571428,1.0,0.0256410256410256,0.1374381664571454,0.125,1.0,0.0256410256410256,0.1264713513838285,0.1111111111111111,1.0,0.0256410256410256,0.1175227747072426,0.1,1.0,0.0256410256410256,0.11004588314904,0.0909090909090909,1.0,0.0256410256410256,0.1036806144573329,0.1666666666666666,1.0,0.0512820512820512,0.1512423740772027,0.2307692307692307,1.0,0.0769230769230769,0.1928688096726154,0.2142857142857142,1.0,0.0769230769230769,0.1840712231410553,0.2,1.0,0.0769230769230769,0.1762201612691348,0.1875,1.0,0.0769230769230769,0.1691595048174019,0.1764705882352941,1.0,0.0769230769230769,0.1627668533421416,0.1666666666666666,1.0,0.0769230769230769,0.1569447157228609,0.1578947368421052,1.0,0.0769230769230769,0.1516143575865557,0.15,1.0,0.0769230769230769,0.1467114083486562,bm25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0153846153846153,0.0636207881989517,0.0909090909090909,1.0,0.0153846153846153,0.0599408376212816,0.0833333333333333,1.0,0.0153846153846153,0.0567601726079605,0.0769230769230769,1.0,0.0153846153846153,0.0539764289368731,0.0714285714285714,1.0,0.0153846153846153,0.0515143288956959,0.0666666666666666,1.0,0.0153846153846153,0.0493171240499355,0.0625,1.0,0.0153846153846153,0.0473411227365995,0.0588235294117647,1.0,0.0153846153846153,0.0455520698635181,0.0555555555555555,1.0,0.0153846153846153,0.0439226814828813,0.0526315789473684,1.0,0.0153846153846153,0.0424309229261673,0.05,1.0,0.0153846153846153,0.041058779386889,bm25
1.0,1.0,0.0175438596491228,1.0,0.5,1.0,0.0175438596491228,0.6131471927654584,0.3333333333333333,1.0,0.0175438596491228,0.4692787260227564,0.5,1.0,0.0350877192982456,0.5585075862632192,0.4,1.0,0.0350877192982456,0.4852285551163225,0.3333333333333333,1.0,0.0350877192982456,0.4329261794091841,0.4285714285714285,1.0,0.0526315789473684,0.4848845701744174,0.375,1.0,0.0526315789473684,0.4461934296412987,0.3333333333333333,1.0,0.0526315789473684,0.4146226740982806,0.3,1.0,0.0526315789473684,0.388244052766991,0.3636363636363636,1.0,0.0701754385964912,0.4236292109070201,0.3333333333333333,1.0,0.0701754385964912,0.4011500020199824,0.3846153846153846,1.0,0.087719298245614,0.4305199777478892,0.3571428571428571,1.0,0.087719298245614,0.4108820862493544,0.3333333333333333,1.0,0.087719298245614,0.3933570183644332,0.3125,1.0,0.087719298245614,0.3775962861670118,0.2941176470588235,1.0,0.087719298245614,0.3633266685157662,0.2777777777777778,1.0,0.087719298245614,0.3503305466308818,0.2631578947368421,1.0,0.087719298245614,0.3384321703712588,0.25,1.0,0.087719298245614,0.3274878523118352,bm25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bm25
