P@1,HR@1,R@1,NDCG@1,P@2,HR@2,R@2,NDCG@2,P@3,HR@3,R@3,NDCG@3,P@4,HR@4,R@4,NDCG@4,P@5,HR@5,R@5,NDCG@5,P@6,HR@6,R@6,NDCG@6,P@7,HR@7,R@7,NDCG@7,P@8,HR@8,R@8,NDCG@8,P@9,HR@9,R@9,NDCG@9,P@10,HR@10,R@10,NDCG@10,P@11,HR@11,R@11,NDCG@11,P@12,HR@12,R@12,NDCG@12,P@13,HR@13,R@13,NDCG@13,P@14,HR@14,R@14,NDCG@14,P@15,HR@15,R@15,NDCG@15,P@16,HR@16,R@16,NDCG@16,P@17,HR@17,R@17,NDCG@17,P@18,HR@18,R@18,NDCG@18,P@19,HR@19,R@19,NDCG@19,P@20,HR@20,R@20,NDCG@20,method
0.0,0.0,0.0,0.0,0.5,1.0,0.0169491525423728,0.3868528072345416,0.6666666666666666,1.0,0.0338983050847457,0.5307212739772434,0.75,1.0,0.0508474576271186,0.6096199500078984,0.8,1.0,0.0677966101694915,0.6608397947263839,0.8333333333333334,1.0,0.0847457627118644,0.6973975865011866,0.7142857142857143,1.0,0.0847457627118644,0.6334982227809455,0.75,1.0,0.1016949152542373,0.6627430629764571,0.7777777777777778,1.0,0.1186440677966101,0.6866059341140195,0.7,1.0,0.1186440677966101,0.6429235234036081,0.7272727272727273,1.0,0.135593220338983,0.6635775238258307,0.75,1.0,0.1525423728813559,0.6814292463263205,0.6923076923076923,1.0,0.1525423728813559,0.6480092571931526,0.6428571428571429,1.0,0.1525423728813559,0.6184507322917664,0.6,1.0,0.1525423728813559,0.5920723832967342,0.5625,1.0,0.1525423728813559,0.5683496738013526,0.5294117647058824,1.0,0.1525423728813559,0.5468713573176774,0.5,1.0,0.1525423728813559,0.527309878816563,0.4736842105263157,1.0,0.1525423728813559,0.5094007030284,0.45,1.0,0.1525423728813559,0.4929275547827088,rrf_only
1.0,1.0,0.0454545454545454,1.0,1.0,1.0,0.0909090909090909,1.0,0.6666666666666666,1.0,0.0909090909090909,0.7653606369886217,0.5,1.0,0.0909090909090909,0.6366824387328317,0.4,1.0,0.0909090909090909,0.5531464700081437,0.3333333333333333,1.0,0.0909090909090909,0.4935232796777481,0.2857142857142857,1.0,0.0909090909090909,0.4483039899025303,0.375,1.0,0.1363636363636363,0.4923263184550016,0.3333333333333333,1.0,0.1363636363636363,0.4574913952697089,0.3,1.0,0.1363636363636363,0.4283854321084119,0.2727272727272727,1.0,0.1363636363636363,0.4036067825037728,0.25,1.0,0.1363636363636363,0.3821900318677578,0.2307692307692307,1.0,0.1363636363636363,0.3634459189892962,0.2142857142857142,1.0,0.1363636363636363,0.3468675674804223,0.2,1.0,0.1363636363636363,0.3320728663469133,0.1875,1.0,0.1363636363636363,0.3187676213095031,0.1764705882352941,1.0,0.1363636363636363,0.3067211784753918,0.1666666666666666,1.0,0.1363636363636363,0.2957498235885468,0.2105263157894736,1.0,0.1818181818181818,0.3196684731623111,0.2,1.0,0.1818181818181818,0.3093309410062494,rrf_only
0.0,0.0,0.0,0.0,0.5,1.0,0.025,0.3868528072345416,0.6666666666666666,1.0,0.05,0.5307212739772434,0.5,1.0,0.05,0.4414924137367808,0.4,1.0,0.05,0.3835663673713356,0.3333333333333333,1.0,0.05,0.3422220729283414,0.4285714285714285,1.0,0.075,0.4024912677501485,0.5,1.0,0.1,0.4501692013270588,0.4444444444444444,1.0,0.1,0.4183171370339614,0.5,1.0,0.125,0.4553242592576836,0.4545454545454545,1.0,0.125,0.4289874153059435,0.5,1.0,0.15,0.4592872880200615,0.5384615384615384,1.0,0.175,0.4858059809818861,0.5,1.0,0.175,0.4636462540540728,0.4666666666666667,1.0,0.175,0.4438706728135805,0.5,1.0,0.2,0.4661532430581944,0.4705882352941176,1.0,0.2,0.4485369984365869,0.4444444444444444,1.0,0.2,0.4324929201822291,0.4210526315789473,1.0,0.2,0.4178040397992884,0.4,1.0,0.2,0.4042929711173147,rrf_only
1.0,1.0,0.0294117647058823,1.0,1.0,1.0,0.0588235294117647,1.0,0.6666666666666666,1.0,0.0588235294117647,0.7653606369886217,0.5,1.0,0.0588235294117647,0.6366824387328317,0.4,1.0,0.0588235294117647,0.5531464700081437,0.3333333333333333,1.0,0.0588235294117647,0.4935232796777481,0.2857142857142857,1.0,0.0588235294117647,0.4483039899025303,0.375,1.0,0.088235294117647,0.4923263184550016,0.3333333333333333,1.0,0.088235294117647,0.4574913952697089,0.3,1.0,0.088235294117647,0.4283854321084119,0.2727272727272727,1.0,0.088235294117647,0.4036067825037728,0.3333333333333333,1.0,0.1176470588235294,0.4352534380453158,0.3076923076923077,1.0,0.1176470588235294,0.4139068855630606,0.2857142857142857,1.0,0.1176470588235294,0.3950267895644873,0.3333333333333333,1.0,0.1470588235294117,0.4208302911924624,0.375,1.0,0.1764705882352941,0.4440360260623491,0.4117647058823529,1.0,0.2058823529411764,0.4650462786167092,0.4444444444444444,1.0,0.2352941176470588,0.4841814656765274,0.4210526315789473,1.0,0.2352941176470588,0.4677370724828473,0.4,1.0,0.2352941176470588,0.4526112548520343,rrf_only
1.0,1.0,0.0526315789473684,1.0,1.0,1.0,0.1052631578947368,1.0,0.6666666666666666,1.0,0.1052631578947368,0.7653606369886217,0.5,1.0,0.1052631578947368,0.6366824387328317,0.4,1.0,0.1052631578947368,0.5531464700081437,0.3333333333333333,1.0,0.1052631578947368,0.4935232796777481,0.2857142857142857,1.0,0.1052631578947368,0.4483039899025303,0.375,1.0,0.1578947368421052,0.4923263184550016,0.4444444444444444,1.0,0.2105263157894736,0.5282471559907896,0.4,1.0,0.2105263157894736,0.494639655562801,0.3636363636363636,1.0,0.2105263157894736,0.4660287323448325,0.3333333333333333,1.0,0.2105263157894736,0.4412996604300061,0.3076923076923077,1.0,0.2105263157894736,0.4196565772551186,0.2857142857142857,1.0,0.2105263157894736,0.400514212773235,0.2666666666666666,1.0,0.2105263157894736,0.3834313585855569,0.25,1.0,0.2105263157894736,0.3680683202345756,0.2941176470588235,1.0,0.2631578947368421,0.3919494434932232,0.2777777777777778,1.0,0.2631578947368421,0.3779294907020906,0.2631578947368421,1.0,0.2631578947368421,0.365093763634536,0.25,1.0,0.2631578947368421,0.365093763634536,rrf_only
1.0,1.0,0.04,1.0,0.5,1.0,0.04,0.6131471927654584,0.3333333333333333,1.0,0.04,0.4692787260227564,0.25,1.0,0.04,0.3903800499921017,0.2,1.0,0.04,0.3391602052736161,0.1666666666666666,1.0,0.04,0.3026024134988134,0.1428571428571428,1.0,0.04,0.2748763329142908,0.25,1.0,0.08,0.3327372413301053,0.2222222222222222,1.0,0.08,0.3091941646995599,0.2,1.0,0.08,0.2895229882348574,0.1818181818181818,1.0,0.08,0.2727764134443681,0.1666666666666666,1.0,0.08,0.2583019678221121,0.1538461538461538,1.0,0.08,0.2456338162799974,0.2142857142857142,1.0,0.12,0.2800437438832462,0.2,1.0,0.12,0.2680992328263126,0.1875,1.0,0.12,0.2573572350643839,0.1764705882352941,1.0,0.12,0.2476315320352864,0.1666666666666666,1.0,0.12,0.238773801921452,0.1578947368421052,1.0,0.12,0.2306642591952349,0.15,1.0,0.12,0.2232049712238678,rrf_only
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0256410256410256,0.2346393630113782,0.5,1.0,0.0512820512820512,0.3633175612671683,0.6,1.0,0.0769230769230769,0.4468535299918563,0.6666666666666666,1.0,0.1025641025641025,0.5064767203222518,0.5714285714285714,1.0,0.1025641025641025,0.460070565792706,0.5,1.0,0.1025641025641025,0.4233594472891125,0.5555555555555556,1.0,0.1282051282051282,0.4641600882587958,0.6,1.0,0.1538461538461538,0.498250645792228,0.6363636363636364,1.0,0.1794871794871795,0.5272728078580052,0.5833333333333334,1.0,0.1794871794871795,0.4992939166882543,0.5384615384615384,1.0,0.1794871794871795,0.4748065654923129,0.5,1.0,0.1794871794871795,0.4531485698176263,0.4666666666666667,1.0,0.1794871794871795,0.433820739002463,0.4375,1.0,0.1794871794871795,0.4164387369791237,0.4117647058823529,1.0,0.1794871794871795,0.400701236983609,0.3888888888888889,1.0,0.1794871794871795,0.3863682342988998,0.3684210526315789,1.0,0.1794871794871795,0.373245899776075,0.35,1.0,0.1794871794871795,0.3611757651991997,rrf_only
1.0,1.0,0.0153846153846153,1.0,1.0,1.0,0.0307692307692307,1.0,0.6666666666666666,1.0,0.0307692307692307,0.7653606369886217,0.5,1.0,0.0307692307692307,0.6366824387328317,0.4,1.0,0.0307692307692307,0.5531464700081437,0.5,1.0,0.0461538461538461,0.601312434202259,0.4285714285714285,1.0,0.0461538461538461,0.546216915252498,0.375,1.0,0.0461538461538461,0.5026317885449211,0.3333333333333333,1.0,0.0461538461538461,0.4670676939838279,0.3,1.0,0.0461538461538461,0.43735247915031,0.2727272727272727,1.0,0.0461538461538461,0.4120551580410262,0.25,1.0,0.0461538461538461,0.3901901078223374,0.2307692307692307,1.0,0.0461538461538461,0.371053639533673,0.2857142857142857,1.0,0.0615384615384615,0.3997426226787685,0.2666666666666666,1.0,0.0615384615384615,0.3826926785868025,0.25,1.0,0.0615384615384615,0.3673592371086274,0.2352941176470588,1.0,0.0615384615384615,0.353476484427435,0.2222222222222222,1.0,0.0615384615384615,0.3408327016469809,0.2631578947368421,1.0,0.0769230769230769,0.3632201885768804,0.25,1.0,0.0769230769230769,0.3514742683677336,rrf_only
1.0,1.0,0.0175438596491228,1.0,0.5,1.0,0.0175438596491228,0.6131471927654584,0.6666666666666666,1.0,0.0350877192982456,0.7039180890341347,0.5,1.0,0.0350877192982456,0.5855700749881525,0.6,1.0,0.0526315789473684,0.639945385422766,0.5,1.0,0.0526315789473684,0.5709662133861837,0.5714285714285714,1.0,0.0701754385964912,0.6102766247064297,0.625,1.0,0.087719298245614,0.64137442160498,0.6666666666666666,1.0,0.1052631578947368,0.6667492472183573,0.6,1.0,0.1052631578947368,0.6243301345792677,0.5454545454545454,1.0,0.1052631578947368,0.5882176608982256,0.5,1.0,0.1052631578947368,0.5570048282371699,0.4615384615384615,1.0,0.1052631578947368,0.5296871053669456,0.5,1.0,0.1228070175438596,0.5511401251396408,0.4666666666666667,1.0,0.1228070175438596,0.5276327286616291,0.5,1.0,0.1403508771929824,0.5465591840566448,0.4705882352941176,1.0,0.1403508771929824,0.5259043448381905,0.4444444444444444,1.0,0.1403508771929824,0.5070928521579862,0.4210526315789473,1.0,0.1403508771929824,0.4898703130115546,0.4,1.0,0.1403508771929824,0.4740287442044684,rrf_only
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0384615384615384,0.2346393630113782,0.25,1.0,0.0384615384615384,0.1951900249960508,0.2,1.0,0.0384615384615384,0.169580102636808,0.1666666666666666,1.0,0.0384615384615384,0.1513012067494067,0.1428571428571428,1.0,0.0384615384615384,0.1374381664571454,0.125,1.0,0.0384615384615384,0.1264713513838285,0.1111111111111111,1.0,0.0384615384615384,0.1175227747072426,0.1,1.0,0.0384615384615384,0.11004588314904,0.0909090909090909,1.0,0.0384615384615384,0.1036806144573329,0.0833333333333333,1.0,0.0384615384615384,0.0981789678996446,0.0769230769230769,1.0,0.0384615384615384,0.0933638824626739,0.0714285714285714,1.0,0.0384615384615384,0.0891051490973256,0.0666666666666666,1.0,0.0384615384615384,0.0853046091393023,0.0625,1.0,0.0384615384615384,0.0818866884283907,0.0588235294117647,1.0,0.0384615384615384,0.0787921353901148,0.0555555555555555,1.0,0.0384615384615384,0.0759737565486073,0.0526315789473684,1.0,0.0384615384615384,0.0733934381893728,0.05,1.0,0.0384615384615384,0.0710200198168286,rrf_only
